"Product Details","ASIN","URL","Image URL","Brand","Price $","Sales","Revenue","BSR","Seller Country/Region","Fees $","Active Sellers #","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","Creation Date"
"ChooChoo Farmhouse Coffee Table, Rustic Vintage Living Room Table with Shelf, 40 White","B08SHCR143","https://www.amazon.com/dp/B08SHCR143?psc=1","https://m.media-amazon.com/images/I/8189SDyX4jS._AC_SY450_.jpg","ChooChoo",159.99,656,"104,953.44","41,445","CN",53.47,2,4.6,848,8,25,"ChooChoo Furniture","Home & Kitchen","Small Oversize","FBA","25.3x6.0x44.0",40.56,"1/8/2021"
"FURINNO Camnus Modern Living Coffee Table, French Oak Grey","B083FQ8CXV","https://www.amazon.com/dp/B083FQ8CXV?psc=1","https://m.media-amazon.com/images/I/71WQgrA7oAL._AC_SY450_.jpg","Furinno",41.99,68,"2,855.32","412,610","AMZ",21.49,9,4.4,404,6,2,"Amazon","Home & Kitchen","Small Oversize","AMZ","19.5x1.9x33.5",13.80,"1/3/2020"
"Mid Century Modern Coffee Table with Storage, 41.3 Inch Rectangle Wooden Accent Center Sofa Table with Sliding PE Rattan Woven Door Panel and Solid Wood Legs, Suitable for Living Room, Apartment","B0BZQF4T8J","https://www.amazon.com/dp/B0BZQF4T8J?psc=1","https://m.media-amazon.com/images/I/814WrL8CdDL._AC_SY450_.jpg","Ganooly",76.99,76,"5,851.24","272,188","CN",38.08,1,5.0,2,7,0,"AURORAHOME","Home & Kitchen","Small Oversize","MFN","24.4x46.0x4.3",41.00,"3/27/2023"
"Gexpusm Round Coffee Table, Wood Coffee Tables for Living Room, Natural Wood Coffee Table with Storage, Center Large Circle Coffee Table, 35.3x35.3x17.8in","B0BD9F92ZP","https://www.amazon.com/dp/B0BD9F92ZP?psc=1","https://m.media-amazon.com/images/I/A1VBk4kbjWL._AC_SX425_.jpg","Gexpusm",189.99,505,"95,944.95","85,124","CN",65.19,1,4.5,191,9,13,"Budding Home","Home & Kitchen","Medium Oversize","MFN","37.5x4.0x37.5",42.96,"9/6/2022"
"WLIVE Modern Lift Top Coffee Table,Rustic Coffee Table with Storage Shelf and Hidden Compartment,Wood Lift Tabletop for Home Living Room,Black,Rustic Brown.","B09X195S9B","https://www.amazon.com/dp/B09X195S9B?psc=1","https://m.media-amazon.com/images/I/81muN7dy78L._AC_SY355_.jpg","WLIVE",84.99,708,"60,172.92","37,527","CN",39.28,1,4.1,334,6,40,"WLIVE","Home & Kitchen","Small Oversize","FBA","21.8x3.9x43.6",40.06,"4/1/2022"
"NSdirect Round Coffee Table,36 inch Coffee Table for Living Room,2-Tier Rustic Wood Desktop & Sturdy Metal Legs Table Modern Design Home Furniture with Storage Shelf (Light Walnut)","B0888JVZH4","https://www.amazon.com/dp/B0888JVZH4?psc=1","https://m.media-amazon.com/images/I/91tacYay1LL._AC_SX466_.jpg","NSdirect",159.99,"1,062","169,909.38","30,517","CN",63.78,6,4.5,"1,829",8,38,"NSdirect","Home & Kitchen","Medium Oversize","FBA","37.8x4.5x39.0",41.86,"8/29/2019"
"Yaheetech Industrial Coffee Table, Rectangular Central Table Cocktail Table with Adjustable Metal Pipe for Living Room Home Furniture, Metal Frame, 42 x 22 x 18 Inches, Gray","B09G9SZZ3G","https://www.amazon.com/dp/B09G9SZZ3G?psc=1","https://m.media-amazon.com/images/I/71KMWoVdA4L._AC_SY450_.jpg","Yaheetech",48.99,176,"8,622.24","198,650","US",32.47,1,4.5,109,9,8,"Yaheetech","Home & Kitchen","Small Oversize","MFN","25.0x46.1x3.7",35.98,"9/15/2021"
"Milliard Modern Farmhouse Coffee Table with Storage Grey","B0BVTC71G5","https://www.amazon.com/dp/B0BVTC71G5?psc=1","https://m.media-amazon.com/images/I/61Sj6QEzQxL._AC_SX569_.jpg","Milliard",69.99,174,"12,178.26","143,449","US","n/a",2,4.1,3,6,0,"Home Wise","Home & Kitchen","Small Oversize","MFN","50.0x26.0x5.0",10.00,"2/13/2023"
"($) SinCiDo 48” Lift Top Coffee Table, Coffee Table with Storage & Sliding Groove Barn Door, Farmhouse Coffee Table Rustic Wood Cocktail Table w/Double Storage Spaces for Living Room, Dark Grey","B0C49YSBT1","https://www.amazon.com/dp/B0C49YSBT1?psc=1","https://m.media-amazon.com/images/I/81aGdrUCINL._AC_SX425_.jpg","SinCiDo",219.99,"n/a","n/a","34,441","US","n/a",1,5.0,2,6,0,"Shengye Development","Home & Kitchen","n/a","MFN","n/a","n/a","5/4/2023"
"($) LVB Natural Wood Coffee Table, Solid Wood Center Table for Living Room, Rustic Metal Industrial Real Wooden Cocktail Table, Modern Farmhouse Rectangle Minimalist Vintage Tea Table, Rustic Brown, 47 In","B0BZNGTJHN","https://www.amazon.com/dp/B0BZNGTJHN?psc=1","https://m.media-amazon.com/images/I/71-ukyTeaNL._AC_SX466_.jpg","LVB",239.98,"n/a","n/a","898,235","CN",65.15,1,"n/a",0,9,0,"LVB Furniture","Home & Kitchen","Small Oversize","FBA","26.5x5.3x51.3",52.01,"3/27/2023"
"($) JXQTLINGMU Farmhouse Coffee Table, Square Wood Center Table with Large Hidden Storage Compartment for Living Room, Rustic Cocktail Table with Hinged Lift Top for Home, Brown","B0C37Y6WRF","https://www.amazon.com/dp/B0C37Y6WRF?psc=1","https://m.media-amazon.com/images/I/91NaAQEXRzL._AC_SY355_.jpg","JXQTLINGMU",229.99,663,"152,483.37","57,752","US","n/a",1,4.5,7,6,-4,"LINGMU Furniture","Home & Kitchen","n/a","MFN","n/a","n/a","4/21/2023"
"($) 48” Modern Farmhouse Wood Coffee Table with 4 Large Storage Drawers; Decorative Rustic Living Room Coffee Table; Work from Home, Office and Living Room Storage for Books, Desk Supplies, Games, Blanket","B0BS9X1NX6","https://www.amazon.com/dp/B0BS9X1NX6?psc=1","https://m.media-amazon.com/images/I/81qhtTSSd2L._AC_SX425_.jpg","JXQTLINGMU",199.99,230,"45,997.70","118,368","US","n/a",1,4.3,38,6,-37,"LINGMU Furniture","Home & Kitchen","n/a","MFN","n/a","n/a","1/13/2023"
"VASAGLE Small Coffee Table Set of 2, Round Coffee Table with Steel Frame, Side End Table for Living Room, Bedroom, Office, Rustic Brown and Black","B08JSXNVKR","https://www.amazon.com/dp/B08JSXNVKR?psc=1","https://m.media-amazon.com/images/I/715b4VhLIpL._AC_SX679_.jpg","VASAGLE",69.88,"1,034","72,255.92","33,731","n/a",31.78,14,4.6,"1,687",9,46,"n/a","Home & Kitchen","Small Oversize","FBA","21.7x5.2x22.9",17.82,"4/6/2021"
"Tribesigns Farmhouse Coffee Table Square LED Coffee Table Engineered Wood Coffee Table for Living Room Rustic Brown & Black Low Coffee Table","B0BS3T7RC5","https://www.amazon.com/dp/B0BS3T7RC5?psc=1","https://m.media-amazon.com/images/I/81U+AJBuRHL._AC_SY450_.jpg","Tribesigns",169.99,50,"8,499.50","143,164","CN","n/a",1,4.6,3,9,0,"USDUSHU","Home & Kitchen","n/a","MFN","n/a","n/a","1/11/2023"
"Small Round Coffee Table Circle Modern White Coffee Tables for Living Room Center Table for Small Spaces 24 Inch Wood Accent Coffe Tables Mesa De Centro","B0BGMW8X6M","https://www.amazon.com/dp/B0BGMW8X6M?psc=1","https://m.media-amazon.com/images/I/61LzMnCmIoL._AC_SX466_.jpg","STELOD",49.42,322,"15,913.24","107,925","CN",16.98,1,4.0,173,5,11,"STELOD","Home & Kitchen","Large Standard-Size","FBA","13.2x4.6x17.8",10.25,"n/a"
"Yaheetech Lift Top Coffee Table with Hidden Storage Compartment, Farmhouse Wooden Center Table with 2 Way Raisable Tabletop & Gas Lift Mechanism for Living Room Reception Room,Gray","B09PL5KB6Q","https://www.amazon.com/dp/B09PL5KB6Q?psc=1","https://m.media-amazon.com/images/I/81WLtHqdONL._AC_SY355_.jpg","Yaheetech",54.99,176,"9,678.24","135,255","US",41.50,1,4.1,237,9,0,"Yaheetech","Home & Kitchen","Small Oversize","MFN","27.0x4.9x51.7",56.84,"1/3/2022"
"CubiCubi 40.8"" x 22.8"" Coffee Table with Moveable Storage Box for Living Room, Wood Look Accent Furniture with Metal Frame, Easy Assembly, Natural","B08P5XZ84T","https://www.amazon.com/dp/B08P5XZ84T?psc=1","https://m.media-amazon.com/images/I/81S7+JQRZ-L._AC_SX569_.jpg","CubiCubi",49.99,283,"14,147.17","179,292","CN",31.09,1,4.3,518,7,8,"Tespo Store","Home & Kitchen","Small Oversize","FBA","26.0x3.0x44.0",34.01,"11/26/2020"
