"Product Details","ASIN","URL","Image URL","Brand","Price $","Sales","Revenue","BSR","Seller Country/Region","Fees $","Active Sellers #","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","Creation Date"
"Convenience Concepts American Heritage Flip Top End Table with Shelf, Walnut","B074T4VYJ7","https://www.amazon.com/dp/B074T4VYJ7?psc=1","https://m.media-amazon.com/images/I/61RNhgYH1lL._AC_SX679_.jpg","Convenience Concepts",44.09,200,"8,818.00","56,920","AMZ",23.90,12,4.5,"2,636",5,9,"Amazon","Home & Kitchen","Small Oversize","AMZ","14.3x6.6x27.3",17.05,"8/14/2017"
"Walker Edison Sedalia Modern Farmhouse Metal X Side Table, 18 Inch, Grey Wash","B07G5FHFDF","https://www.amazon.com/dp/B07G5FHFDF?psc=1","https://m.media-amazon.com/images/I/81A1XzATAkL._AC_SX569_.jpg","Walker Edison",35.89,"1,153","41,381.17","26,659","AMZ",28.70,3,4.6,"8,117",13,32,"Amazon","Home & Kitchen","Small Oversize","AMZ","24.0x7.0x25.6",31.00,"n/a"
"WLIVE End Table with Charging Station, Side Table with USB Ports and Outlets, Narrow Side Table for Small Spaces, Living Room, Couch, Nightstand with Storage, Espresso","B0BJ6Z9S6M","https://www.amazon.com/dp/B0BJ6Z9S6M?psc=1","https://m.media-amazon.com/images/I/71jU1MfTYnL._AC_SX569_.jpg","WLIVE",89.99,124,"11,158.76","142,525","CN",34.15,1,4.4,37,7,5,"WLIVE","Home & Kitchen","Small Oversize","FBA","25.0x5.5x27.0",26.91,"10/14/2022"
"Signature Design by Ashley Valebeck Farmhouse Rectangular End Table with Storage, Distressed Brown & Black Finish","B07N12BCPT","https://www.amazon.com/dp/B07N12BCPT?psc=1","https://m.media-amazon.com/images/I/81twjQsKNqL._AC_SX466_.jpg","Signature Design by Ashley",190.53,289,"55,063.17","111,928","AMZ",64.08,4,4.8,972,10,11,"Amazon","Home & Kitchen","Small Oversize","FBA","28.0x10.0x29.5",55.46,"n/a"
"FURINNO Oval End Table, One, Walnut","B01FX5CM8O","https://www.amazon.com/dp/B01FX5CM8O?psc=1","https://m.media-amazon.com/images/I/61zo5IM6j9L._AC_SX466_.jpg","Furinno",15.46,238,"3,679.48","135,476","AMZ",16.25,6,4.2,"1,869",6,9,"Amazon","Home & Kitchen","Small Oversize","AMZ","17.8x2.5x24.3",10.60,"5/19/2016"
"GIOPACO Small End Table with Charging Station and USB Ports, Small Side Table Nightstand with 2-Layer Storage Shelves for Small Spaces, Living Room, Bedroom, Rustic Brown (1)","B0BVYQ3H54","https://www.amazon.com/dp/B0BVYQ3H54?psc=1","https://m.media-amazon.com/images/I/61oIAfrPHUL._AC_SY450_.jpg","GIOPACO",34.99,495,"17,320.05","50,305","CN",14.34,1,4.5,29,9,13,"GIOPACO OFFICIAL","Home & Kitchen","Large Standard-Size","FBA","13.6x3.6x17.0",8.77,"2/16/2023"
"AZL1 Life Concept Utility Sofa End Living Room, Vintage Accent Couch Side Pocket, C Shaped Table for Coffee Snack Laptop","B08PM864CR","https://www.amazon.com/dp/B08PM864CR?psc=1","https://m.media-amazon.com/images/I/41lISV7xDwL._AC_SY450_.jpg","AZL1 Life Concept",23.99,"n/a","n/a","40,886","AMZ",20.47,1,4.4,"1,387",9,8,"Amazon","Home & Kitchen","Small Oversize","AMZ","27.5x3.3x27.6",13.55,"n/a"
"COZAYH Rustic Farmhouse end Table with Storage Shelf, French Country Accent Side Table for Family, Dinning or Living Room, Small Spaces, Modern, Round, Vintage Grey Finish.","B09BD7FDSQ","https://www.amazon.com/dp/B09BD7FDSQ?psc=1","https://m.media-amazon.com/images/I/91qWn9YkRlL._AC_SX569_.jpg","COZAYH",69.99,175,"12,248.25","77,009","US",26.95,1,4.4,409,9,10,"Cozayh","Home & Kitchen","Small Oversize","MFN","3.3x26.8x26.5",15.73,"7/28/2021"
"HOOBRO Tall End Table with Charging Station, Industrial Telephone Table with Metal Storage Basket, Side Table, Nightstand for Living Room, Bedroom, Office, Rustic Brown and Black BF06UDH01","B0BTBWLSS5","https://www.amazon.com/dp/B0BTBWLSS5?psc=1","https://m.media-amazon.com/images/I/712xwua2ZhL._AC_SY450_.jpg","HOOBRO",39.99,"n/a","n/a","212,725","CN",15.89,1,"n/a",0,9,0,"Hoobro","Home & Kitchen","Large Standard-Size","FBA","12.9x6.7x17.7",11.09,"1/29/2023"
"VASAGLE Side Table with Charging Station, End Table with USB Ports and Outlets, Nightstand for Living Room, Bedroom, Plug-in Series, Rustic Brown and Black ULET371B01","B09VXGLJMB","https://www.amazon.com/dp/B09VXGLJMB?psc=1","https://m.media-amazon.com/images/I/71j5v0u9zdL._AC_SY450_.jpg","VASAGLE",34.99,"1,270","44,437.30","37,473","US",9.41,6,4.4,874,9,81,"Songmics Direct","Home & Kitchen","Large Standard-Size","FBA","13.0x4.4x17.4",9.70,"3/18/2022"
"AWASEN Side Table Round, Small Side Table Modern End Accent Table for Living Room Bedroom Office Small Spaces, 16''D x 19.5''H (Rustic Brown)","B0BXSL9HJV","https://www.amazon.com/dp/B0BXSL9HJV?psc=1","https://m.media-amazon.com/images/I/51JNa7Ogj7L._AC_SX466_.jpg","AWASEN",38.99,"1,266","49,361.34","21,397","CN",18.10,1,4.6,907,6,892,"Awasen Direct","Home & Kitchen","Small Oversize","FBA","17.5x3.0x17.6",5.50,"3/8/2023"
"Aheaplus End Table, Sofa Table Narrow Flip Top with USB Ports &Outlets for Small Spaces, Side Table with Storage Shelves, Nightstand with Metal Frame for Living Room, Black Oak","B09GBBMTCP","https://www.amazon.com/dp/B09GBBMTCP?psc=1","https://m.media-amazon.com/images/I/81rMn3BbtVL._AC_SY355_.jpg","Aheaplus",75.89,"1,006","76,345.34","22,961","CN",31.63,19,4.5,"1,492",8,56,"Aheaplus","Home & Kitchen","Small Oversize","FBA","14.3x5.6x26.8",20.69,"6/29/2021"
"AMHANCIBLE LED Nightstand with Fast Charging Station, End Tables Living Room with USB C Charger 3-Port & 2-Power Outlet, Bedside Table with Fabric Drawers for Bedroom HET052LBK1","B0B92PBX4V","https://www.amazon.com/dp/B0B92PBX4V?psc=1","https://m.media-amazon.com/images/I/61sst74bS7L._AC_SX425_.jpg","AMHANCIBLE",84.99,"1,033","87,794.67","24,487","CN",29.20,1,4.3,197,8,39,"Amhancible","Home & Kitchen","Small Oversize","FBA","15.9x5.3x25.6",16.85,"9/27/2022"
"SOOWERY Nightstand with Charging Station, Bedside Tables with 3 Tiers Storage Space and Door, End Tables with USB Ports and Outlets for Bedroom, Living Room, Brown","B09ZXX1MV7","https://www.amazon.com/dp/B09ZXX1MV7?psc=1","https://m.media-amazon.com/images/I/71EUTcqdfNL._AC_SY355_.jpg","SOOWERY",79.99,551,"44,074.49","45,706","CN",23.97,1,4.7,451,7,46,"SOOWERY Direct","Home & Kitchen","Large Standard-Size","FBA","13.4x6.3x17.4",18.01,"5/10/2022"
"FURINNO Modern Simplistic Criss-Crossed End Table, French Oak Grey","B084PLDN58","https://www.amazon.com/dp/B084PLDN58?psc=1","https://m.media-amazon.com/images/I/61ll7bAOKQL._AC_SX679_.jpg","Furinno",17.56,122,"2,142.32","142,972","AMZ",17.13,9,4.1,"3,379",8,"2,272","Amazon","Home & Kitchen","Small Oversize","AMZ","17.9x2.0x26.1",10.00,"2/11/2020"
"Rerii End Table, Side Table 3 Tier, Simple Bedside Nightstand, 2 Shelf Small Bookshelf Bookcase, Display Rack for Bathroom, Bedroom and Living Room, White","B07D321981","https://www.amazon.com/dp/B07D321981?psc=1","https://m.media-amazon.com/images/I/61YbTDp082L._AC_SY355_.jpg","Rerii",28.99,"1,187","34,411.13","22,892","CN",12.80,8,4.1,"4,122",8,45,"Rerii","Home & Kitchen","Large Standard-Size","FBA","10.1x5.0x16.5",6.65,"5/15/2018"
"HAYOFAMY Small Side Table Night Stand, 3 Tier Narrow End Table with Display Shelf, Small Bookcase Bookshelf, Simple Bedside Table Storage Rack for Bedroom, Living Room, Office, Bathroom,White","B0BXH4KSGR","https://www.amazon.com/dp/B0BXH4KSGR?psc=1","https://m.media-amazon.com/images/I/61OEDdiqpZL._AC_SY450_.jpg","HAYOFAMY",27.88,189,"5,269.32","93,406","CN",12.47,1,3.7,8,7,4,"HAYOFAMY","Home & Kitchen","Large Standard-Size","FBA","10.2x3.7x16.8",6.39,"3/4/2023"
"VECELO Modern End Side Tables,Round Metal Foldable Tray,Stable Snack Nightstand for Outdoors,Small Space,Living Room and Balcony, 18.5 in x 18.5 in x 19.7 in, Black","B08CXKT48H","https://www.amazon.com/dp/B08CXKT48H?psc=1","https://m.media-amazon.com/images/I/61FDy2Zv-0L._AC_SX679_.jpg","VECELO",30.76,293,"9,012.68","84,801","n/a",16.44,2,4.5,318,10,11,"    Secure transaction     ","Home & Kitchen","Small Oversize","MFN","19.8x2.0x21.0",4.70,"7/14/2020"
"Household Essentials Black Oak Round End Table 2 Tier","B09RTPDWCJ","https://www.amazon.com/dp/B09RTPDWCJ?psc=1","https://m.media-amazon.com/images/I/71SjXyZStLL._AC_SY355_.jpg","Household Essentials",53.54,"1,634","87,484.36","9,558","AMZ",23.64,4,4.5,"11,944",8,"10,469","Amazon","Home & Kitchen","Small Oversize","FBA","22.9x2.3x25.1",14.45,"n/a"
"Ball & Cast Side End Table, 15.25"" Dia, Black","B0894N5VLG","https://www.amazon.com/dp/B0894N5VLG?psc=1","https://m.media-amazon.com/images/I/71JNlbs9cHL._AC_SX569_.jpg","Ball & Cast",25.59,173,"4,427.07","142,916","AMZ",16.93,5,4.4,617,7,3,"Amazon","Home & Kitchen","Small Oversize","AMZ","17.1x3.9x17.4",7.70,"10/27/2020"
"HOOBRO Side Tables, Set of 2 Narrow Nightstands, Industrial End Table with Flat or Slant Adjustable Mesh Shelf for Small Spaces, Stable Metal Frame and Easy Assembly, Rustic Brown and Black BF24BZ01","B07ZCTLNMZ","https://www.amazon.com/dp/B07ZCTLNMZ?psc=1","https://m.media-amazon.com/images/I/71YJJeFcPmL._AC_SX466_.jpg","HOOBRO",49.99,217,"10,847.83","149,066","CN",24.79,5,4.8,"1,785",9,15,"Hoobro","Home & Kitchen","Small Oversize","FBA","14.5x5.3x26.1",18.35,"n/a"
"FANTERSI Small Round Side Table, 2-Tier Mid Century Modern Side Table, Wood Side Table, Round End Table for Living Room, Metal Frames, Brown","B0BWYTNKMR","https://www.amazon.com/dp/B0BWYTNKMR?psc=1","https://m.media-amazon.com/images/I/71F+T53Ph5L._AC_SX466_.jpg","FANTERSI",79.99,"n/a","n/a","144,737","CN",27.61,1,"n/a",0,9,0,"FANTERSI","Home & Kitchen","Small Oversize","FBA","17.9x6.0x19.1",9.68,"3/4/2023"
"YITAHOME X-Design Side End Table Set of 2, Industrial End Table for Small Spaces, Farmhouse Nightstand Sofa Bed Table with Storage Shelf for Bedroom Living Room, Easy Assembly, Black","B09HPVFNRL","https://www.amazon.com/dp/B09HPVFNRL?psc=1","https://m.media-amazon.com/images/I/71KnoxIz9wL._AC_SX522_.jpg","YITAHOME",60.65,72,"4,366.80","377,357","AMZ",30.17,4,4.5,102,7,3,"Amazon","Home & Kitchen","Small Oversize","FBA","14.0x8.2x24.5",27.90,"10/3/2021"
