"Product Details","ASIN","URL","Image URL","Brand","Price $","Sales","Revenue","BSR","Seller Country/Region","Fees $","Active Sellers #","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","Creation Date"
"($) Amazon Basics Round Storage End Table, Side Table with Cloth Basket - White/Heather Gray, 19 x 18 x 18 Inches","B07TWXS5Y6","https://www.amazon.com/dp/B07TWXS5Y6?psc=1","https://m.media-amazon.com/images/I/71bLf-pRNRL._AC_SY355_.jpg","Amazon Basics",30.60,"n/a","n/a","1,681","AMZ",17.26,8,4.5,"8,520",6,0,"Amazon","Our Brands","Small Oversize","FBA","19.5x2.6x20.5",6.73,"n/a"
"Winsome Eugene Table, White","B0046EC0HW","https://www.amazon.com/dp/B0046EC0HW?psc=1","https://m.media-amazon.com/images/I/61JveBx0KBL._AC_SX569_.jpg","Winsome",41.21,"2,923","120,456.83","5,308","AMZ",23.89,18,4.1,"24,330",11,76,"Amazon","Home & Kitchen","Small Oversize","AMZ","17.9x4.3x26.6",19.35,"10/2/2003"
"CosmoLiving Westerleigh End Table, White","B07KWWB7SZ","https://www.amazon.com/dp/B07KWWB7SZ?psc=1","https://m.media-amazon.com/images/I/81nwpqZXGBL._AC_SY450_.jpg","CosmoLiving by Cosmopolitan",78.12,"1,114","87,025.68","8,672","AMZ",35.72,11,4.2,847,13,14,"Amazon","Home & Kitchen","Small Oversize","AMZ","26.0x6.3x30.0",33.01,"n/a"
"KHLJJU End Table with Charging Station, Nightstand with Fabric Drawer, Small Side Table for Small Spaces, Black Bedside Tables with USB Ports and Outlets for Living Room, Bedroom, Office","B0BLBVLVMD","https://www.amazon.com/dp/B0BLBVLVMD?psc=1","https://m.media-amazon.com/images/I/61BWsnkwb-L._AC_SX466_.jpg","KHLJJU",89.99,253,"22,767.47","24,502","CN",25.79,1,4.2,333,8,145,"bengchijiaju","Home & Kitchen","Large Standard-Size","FBA","13.5x7.2x17.3",18.98,"11/3/2022"
"Yoobure Nightstand with Charging Station, Small Night Stand with Fabric Drawers and Storage Shelf for Bedrooms, Nightstands for Small Spaces, Bedside Table with USB Ports & Outlets, Bed Side Table","B0BS98NNCN","https://www.amazon.com/dp/B0BS98NNCN?psc=1","https://m.media-amazon.com/images/I/715PdwI7WzL._AC_SY355_.jpg","Yoobure",52.99,"n/a","n/a","12,668","CN",18.80,2,4.0,10,7,5,"Yoobure Direct","Home & Kitchen","Large Standard-Size","FBA","13.2x7.4x17.9",14.05,"5/18/2023"
"Furinno Just 3-Tier Turn-N-Tube End Table / Side Table / Night Stand / Bedside Table with Plastic Poles, 1-Pack, Americano/Black","B07HG5Q8TP","https://www.amazon.com/dp/B07HG5Q8TP?psc=1","https://m.media-amazon.com/images/I/61vmuh8x7-L._AC_SX569_.jpg","Furinno",17.97,"45,284","813,753.48",417,"AMZ",11.31,20,4.5,"86,910",5,"1,087","Amazon","Home & Kitchen","Large Standard-Size","AMZ","12.2x3.3x16.1",7.22,"9/18/2018"
"SUPERJARE Nightstand with Charging Station, Bed Side Table with Adjustable Fabric Drawer, Night Stand for Bedroom, 3-Tier Storage End Table, Fabric Drawer Dresser, for Living Room - Vintage Brown","B0BDFRN629","https://www.amazon.com/dp/B0BDFRN629?psc=1","https://m.media-amazon.com/images/I/81e2pGD1LlL._AC_SX425_.jpg","SUPERJARE",49.99,"3,303","165,116.97","9,608","US",17.71,4,4.4,342,9,50,"Superjare Direct","Home & Kitchen","Large Standard-Size","FBA","13.4x5.2x17.4",13.07,"9/7/2022"
"Somdot Nightstand with 2 Drawers, Bedside Table Small Dresser with Removable Fabric Bins for Bedroom Nursery Closet Living Room - Sturdy Steel Frame, Wood Top, Pull Handle - Black/Rustic Brown","B087C39L4L","https://www.amazon.com/dp/B087C39L4L?psc=1","https://m.media-amazon.com/images/I/71Qad5+KXxL._AC_SY450_.jpg","Somdot",30.99,"1,413","43,788.87","11,907","US",13.74,8,3.9,"2,427",8,110,"SOMDOT Home and Beyond","Home & Kitchen","Large Standard-Size","FBA","12.5x3.3x17.3",8.64,"9/24/2019"
"LUCKNOCK NightStand with Fabric Drawer, Bedside Table with Solid Wood Legs, Minimalist and Practical End Side Table with Open Storage Shelf for Bedroom, White.","B0B5CLLP8G","https://www.amazon.com/dp/B0B5CLLP8G?psc=1","https://m.media-amazon.com/images/I/71hqDs3s3kL._AC_SX466_.jpg","LUCKNOCK",45.99,"1,876","86,277.24","17,914","CN",19.54,1,4.6,277,7,39,"LUCKNOCK","Home & Kitchen","Large Standard-Size","MFN","13.2x5.5x16.8",16.67,"6/29/2022"
"LDTTCUK Nightstand with Charging Station, Modern End Table with Drawer, Bedside Table with Open Storage for Bedroom, Grey","B0BR51D7TM","https://www.amazon.com/dp/B0BR51D7TM?psc=1","https://m.media-amazon.com/images/I/71REmTF8ETL._AC_SX466_.jpg","LDTTCUK",79.99,"2,113","169,018.87","13,462","CN",24.29,1,4.4,585,7,55,"yiboshangmao123","Home & Kitchen","Large Standard-Size","FBA","13.5x6.7x17.5",18.74,"12/27/2022"
"CubiCubi Side Table with Storage Compartment, Small End Table, Rustic File Cabinet, Cable Management, Nightstand Living Room Bedroom, White","B0915N5FPP","https://www.amazon.com/dp/B0915N5FPP?psc=1","https://m.media-amazon.com/images/I/613UQ3M7-HL._AC_SX679_.jpg","CubiCubi",39.99,222,"8,877.78","103,062","CN",18.45,3,4.4,343,8,4,"Tespo Store","Home & Kitchen","Large Standard-Size","FBA","13.4x6.0x17.3",18.92,"3/26/2021"
"VECELO Modern Versatile Nightstands X-Design Side End Table Night Stand Storage Shelf with Bin Drawer for Living Room Bedroom, Set of 2 (Brown)","B08C2VZZP7","https://www.amazon.com/dp/B08C2VZZP7?psc=1","https://m.media-amazon.com/images/I/71yCupVeALL._AC_SY450_.jpg","VECELO",63.83,"2,295","146,489.85","10,289","AMZ",33.15,6,4.3,"7,418",7,137,"Amazon","Home & Kitchen","Small Oversize","AMZ","13.8x8.5x25.2",33.76,"n/a"
"DOMYDEVM Black Nightstand with Charging Station End Table with USB Ports and Outlets Modern Bedside Table with Storage Drawer for Bedroom Living Room Farmhouse","B0BFJGDHVF","https://www.amazon.com/dp/B0BFJGDHVF?psc=1","https://m.media-amazon.com/images/I/71mFrqwST4L._AC_SY450_.jpg","DOMYDEVM",47.99,612,"29,369.88","50,781","CN",18.69,1,4.3,93,7,12,"DOMYDEVM HOME","Home & Kitchen","Large Standard-Size","MFN","13.5x5.9x17.7",16.34,"9/16/2022"
"($) Amazon Brand – Rivet Mid-Century Stark 2-Drawer Nightstand, 24""H, Walnut","B075YZ16V4","https://www.amazon.com/dp/B075YZ16V4?psc=1","https://m.media-amazon.com/images/I/81l8X9XuEaL._AC_SY450_.jpg","Rivet",106.38,"n/a","n/a","4,294","AMZ",38.29,1,4.2,364,6,0,"Amazon","Our Brands","Small Oversize","AMZ","19.0x23.6x8.3",31.00,"5/30/2018"
"($) SinCiDo Nightstand with Charging Station, 20"" Farmhouse End Table w/Sliding Groove Barn Door, Rustic Wood Sofa Side Bedside Table w/Open & Adjustable Shlef for Bedroom, Living Room, White","B0C49XTTF7","https://www.amazon.com/dp/B0C49XTTF7?psc=1","https://m.media-amazon.com/images/I/71pAiXboSqL._AC_SY355_.jpg","SinCiDo",139.99,"n/a","n/a","34,441","US","n/a",1,5.0,2,6,0,"Shengye Development","Home & Kitchen","n/a","MFN","n/a","n/a","5/4/2023"
"($) Furologee Nightstand with 2 Drawers, End Table with Storage Shelf, Industrial Side Sofa Table, Bedside Accent Furniture Metal Frame Easy Assembly for Living Room/Bedroom/Hallway, Rustic Brown","B09LVH8DRG","https://www.amazon.com/dp/B09LVH8DRG?psc=1","https://m.media-amazon.com/images/I/81bpElPyS8L._AC_SX569_.jpg","Furologee",49.99,515,"25,744.85","71,834","CN",22.69,1,4.4,653,8,46,"Engriy Store","Home & Kitchen","Small Oversize","FBA","16.4x3.6x23.5",13.88,"11/15/2021"
"($) KHLJJU End Table with Charging Station, Nightstand with Fabric Drawer, Small Side Table for Small Spaces, Black Bedside Tables with USB Ports and Outlets for Living Room, Bedroom, Office","B0BLBVLVMD","https://www.amazon.com/dp/B0BLBVLVMD?psc=1","https://m.media-amazon.com/images/I/61BWsnkwb-L._AC_SX466_.jpg","KHLJJU",89.99,253,"22,767.47","24,502","CN",25.79,1,4.2,333,8,145,"bengchijiaju","Home & Kitchen","Large Standard-Size","FBA","13.5x7.2x17.3",18.98,"11/3/2022"
"Nicehill Nightstand, Nightstand for Bedroom with Drawers, Small Dresser with Drawers, Bedside Table Bedside Furniture, Night Stand End Table with Storage Drawers for Bedroom, Black Wood Grain","B0BJ6K5HJ5","https://www.amazon.com/dp/B0BJ6K5HJ5?psc=1","https://m.media-amazon.com/images/I/71fTh+1AiaL._AC_SX679_.jpg","Nicehill",39.99,"1,447","57,865.53","21,069","CN",15.89,1,4.6,214,7,32,"Nicehill Direct","Home & Kitchen","Large Standard-Size","FBA","12.6x5.4x17.2",11.09,"10/14/2022"
"Winsome Wood Henry Accent Table, Black, 19 inches","B000NPTUGM","https://www.amazon.com/dp/B000NPTUGM?psc=1","https://m.media-amazon.com/images/I/71yMAS5w8JL._AC_SY355_.jpg","Winsome",35.00,769,"26,915.00","27,561","AMZ",21.28,19,4.1,"9,070",10,48,"Amazon","Home & Kitchen","Small Oversize","AMZ","18.5x3.0x26.0",15.83,"7/26/2005"
