"Product Details","ASIN","URL","Image URL","Brand","Price $","Sales","Revenue","BSR","Seller Country/Region","Fees $","Active Sellers #","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","Creation Date"
"Deco 79 Aluminum Drip Accent Table with Melting Designed Legs and Shaded Glass Top, 16"" x 16"" x 24"", Silver","B097QGTZ4J","https://www.amazon.com/dp/B097QGTZ4J?psc=1","https://m.media-amazon.com/images/I/71bIDYB5i5S._AC_SX466_.jpg","Deco 79",190.79,356,"67,921.24","96,815","AMZ",63.55,11,4.5,382,9,18,"Amazon","Home & Kitchen","Small Oversize","AMZ","17.4x17.3x28.0",16.20,"n/a"
"Christopher Knight Home Jerod Light-Weight Concrete Accent Table, Black","B07F6652WW","https://www.amazon.com/dp/B07F6652WW?psc=1","https://m.media-amazon.com/images/I/51VSQWEb0uL._AC_SY450_.jpg","Christopher Knight Home",88.24,343,"30,266.32","74,597","US",39.92,9,4.4,552,7,6,"Deal Box Center","Home & Kitchen","Small Oversize","MFN","16.1x15.7x20.9",20.55,"7/1/2018"
"ECOMEX Round End Table,Tall Side Table with Drawer and Shelf, 2 Tier Classic Brown Wood Accent Table Sofa Side Table for Bedroom,Office, Small Spaces, Vintage European Style (Black)","B0B426NX6H","https://www.amazon.com/dp/B0B426NX6H?psc=1","https://m.media-amazon.com/images/I/51PlgkSuGWL._AC_SX425_.jpg","ECOMEX",69.99,87,"6,089.13","529,313","CN",31.99,1,4.4,20,9,4,"LIVABLE HOME","Home & Kitchen","Small Oversize","MFN","23.1x6.3x27.0",16.70,"6/14/2022"
"($) danpinera 2 Tier Metal Side Table with Removable Tray, Folding End Table Outdoor Side Table Small Accent Table, Anti-Rust Green Nightstand for Bedroom Balcony Patio (Dark Green)","B09GKGWZP3","https://www.amazon.com/dp/B09GKGWZP3?psc=1","https://m.media-amazon.com/images/I/614WQjNZIaL._AC_SY355_.jpg","danpinera",49.99,734,"36,692.66","11,751","CN",20.59,1,4.4,607,8,23,"LongT HOME","Patio, Lawn & Garden","Small Oversize","FBA","18.0x3.3x21.3",8.10,"5/9/2021"
"($) Tribesigns Modern Round End Table, 20”Sofa Side Table Coffee Table Cocktail Table with Unique Gold O-Shaped Base, Midcentury Accent Table Nightstand for Living Room Bedroom, Faux Marble White","B0B87Q1X9X","https://www.amazon.com/dp/B0B87Q1X9X?psc=1","https://m.media-amazon.com/images/I/81FuTwVPISL._AC_SX679_.jpg","Tribesigns",85.99,"n/a","n/a","n/a","CN","n/a",1,3.5,12,8,1,"QQDREAM","Home & Kitchen","n/a","MFN","n/a","n/a","8/1/2022"
"($) COSIEST Concrete Accent Table, Hexagon Patio Side Table 14.5''Wx20''H, Modular Design Indoor Outdoor End Table, Distressed Grey White Patina","B09J1DCJMR","https://www.amazon.com/dp/B09J1DCJMR?psc=1","https://m.media-amazon.com/images/I/81VQDVqY3BL._AC_SX679_.jpg","COSIEST",139.99,126,"17,638.74","44,482","CN","n/a",1,4.1,19,7,0,"COSIEST","Patio, Lawn & Garden","n/a","MFN","n/a","n/a","10/1/2021"
"($) Kate and Laurel Sanzo Bohemian Side Table, 9 x 9 x 23, Gold, Decorative Pedestal End Table for Display and Storage","B08RSLPX5N","https://www.amazon.com/dp/B08RSLPX5N?psc=1","https://m.media-amazon.com/images/I/715Fkhakd4L._AC_SX466_.jpg","Kate and Laurel",79.99,177,"14,158.23","89,399","US",27.61,4,4.7,266,8,106,"Uniek","Home & Kitchen","Small Oversize","MFN","10.2x9.8x19.6",7.10,"n/a"
"FirsTime & Co. Miles Rustic Table, 22""H x 16""W x 16""D, Natural, Aged Black","B07JQDN3T8","https://www.amazon.com/dp/B07JQDN3T8?psc=1","https://m.media-amazon.com/images/I/9136eXzArSL._AC_SY450_.jpg","FirsTime & Co.",52.22,96,"5,013.12","504,142","AMZ",24.24,19,4.2,705,6,1,"Amazon","Home & Kitchen","Small Oversize","FBA","16.8x6.0x23.5",7.90,"n/a"
"Yaheetech 3-Tier Console Table for Entryway, 39.5 Inch Entryway Table with Drawer and 2 Storage Shelves, Narrow Wood Accent Table for Entryway/Hallway/Living Room/Foyer, Black","B081KTQF4Q","https://www.amazon.com/dp/B081KTQF4Q?psc=1","https://m.media-amazon.com/images/I/61KgXZLF23L._AC_SY450_.jpg","Yaheetech",79.99,387,"30,956.13","83,214","US",40.63,1,4.6,"2,039",9,26,"Yaheetech","Home & Kitchen","Small Oversize","MFN","15.4x5.5x44.9",45.20,"11/16/2019"
"Gold End Tables Set of 2, Faux Marble Side Table for Living Room, Bedroom or Small Spaces, Small Nightstand with Storage Shelf, Easy Assembly, 2-Pack, Modern Style Accent Table","B0C16QBP8V","https://www.amazon.com/dp/B0C16QBP8V?psc=1","https://m.media-amazon.com/images/I/61-mzWT76AL._AC_SX522_.jpg","Possile",49.99,58,"2,899.42","91,300","CN",18.86,1,4.3,28,9,1,"Possile Store","Home & Kitchen","Large Standard-Size","FBA","13.0x5.4x16.9",13.05,"4/1/2023"
