"","product_details","asin","url","image_url","brand","price","sales","revenue","bsr","seller_country_region","fees","active_sellers_number","ratings","review_count","images","review_velocity","buy_box","category","size_tier","fulfillment","dimensions","weight","creation_date"
"1","AOJEZOR Round End Tables Living Room,Narrow Night Stands Round Side Table for Bedrooms, Cute Gold Coffee Table,Pedestal Plant Stand for Balcony, Black Tray with 3 Legged Gold Accent Table","B08THDLJ9G","https://www.amazon.com/dp/B08THDLJ9G?psc=1","https://m.media-amazon.com/images/I/61Cjqq5wGhL._AC_SX569_.jpg","AOJEZOR",39.98,3868,154642.64,4644,"CN",19.23,4,4.6,3277,6,60,"Aojezor","Home & Kitchen","Small Oversize","FBA","19.3x2.6x23.0","6.60",2021-01-20
"2","Frenchi Home Furnishing End Table/Side Table, Espresso Finish","B000FSHE3I","https://www.amazon.com/dp/B000FSHE3I?psc=1","https://m.media-amazon.com/images/I/71wS0poW4QL._AC_SY450_.jpg","Frenchi Furniture",40.89,764,31239.96,32929,"AMZ",26.78,4,4.6,5339,3,26,"Amazon","Home & Kitchen","Small Oversize","AMZ","14.0x10.0x26.0","17.50",NA
"3","BEWISHOME Round End Table Side Table with Metal Frame, Accent Table Nightstand Bedside Table with 3-Tier Shelves, Small Table for Living Room Bedroom Couch Table Small Coffee Table Rustic Brown KTZ41Z","B0B6FZ11BS","https://www.amazon.com/dp/B0B6FZ11BS?psc=1","https://m.media-amazon.com/images/I/81GzK8AqynL._AC_SY741_.jpg","BEWISHOME",59.99,309,18536.91,100410,"CN",23.77,1,4.5,62,7,11,"BEWISHOME","Home & Kitchen","Small Oversize","FBA","16.0x4.5x24.5","10.95",2022-08-30
"4","Winsome Wood Claire Accent Table, Black","B000NPSGPS","https://www.amazon.com/dp/B000NPSGPS?psc=1","https://m.media-amazon.com/images/I/71fJ0TjspXL._AC_SY355_.jpg","Winsome",35.16,1542,54216.72,19423,"AMZ",23.4,25,4.4,19526,11,83,"Amazon","Home & Kitchen","Small Oversize","FBA","19.4x4.7x23.1","20.05",2000-11-01
"5","danpinera Side Table, End Table for Small Spaces Accent Metal Bedside Table Round Small End Table, Outdoor Side Table Indoor Snack Table Accent Patio Side Table Anti-Rust and Waterproof Dark Green","B08CC17XXB","https://www.amazon.com/dp/B08CC17XXB?psc=1","https://m.media-amazon.com/images/I/61gHI3VxkuL._AC_SX425_.jpg","danpinera",35.98,1744,62749.12,5356,"US",17.64,1,4.5,6001,9,32,"Kying Story","Patio, Lawn & Garden","Small Oversize","FBA","18.3x1.9x20.8","6.65",2020-11-10
"6","ChooChoo Narrow Console Table, Chic Accent Sofa Table, Entryway Table, Espresso","B07SYJ189D","https://www.amazon.com/dp/B07SYJ189D?psc=1","https://m.media-amazon.com/images/I/71iJC5hieNL._AC_SX569_.jpg","ChooChoo",79.99,1022,81749.78,33628,"CN",32.65,2,4.5,3046,5,49,"ChooChoo Furniture","Home & Kitchen","Small Oversize","FBA","15.2x5.0x43.8","26.95",2019-09-24
"7","FORAOFUR Side Table, Small End Table Accent Table Living Room Bedroom Balcony Office, Modern Side Table Bedside Table Home Decor, Easy Assembly","B09TFHLB3J","https://www.amazon.com/dp/B09TFHLB3J?psc=1","https://m.media-amazon.com/images/I/51UCaA8FFXL._AC_SX425_.jpg","FORAOFUR",23.39,1844,43131.16,12050,"CN",11.32,1,4.6,413,7,36,"HAITE HOME","Home & Kitchen","Large Standard-Size","FBA","13.3x2.8x17.2","4.59",2022-02-25
"8","Ameriwood Home Franklin Accent Table 2 Drawers, Black","B06WD4YD17","https://www.amazon.com/dp/B06WD4YD17?psc=1","https://m.media-amazon.com/images/I/61z+YcTJk9L._AC_SX425_.jpg","Ameriwood Home",69.61,902,62788.22,20771,"AMZ",34.86,8,4.6,2865,6,32,"Amazon","Home & Kitchen","Small Oversize","AMZ","23.5x6.2x31.1","35.11",NA
"9","Palama Small Side Table for Living Room, Modern Home Décor Gold Side Table, Easy Assembly Small Gold Table, Gold Accent Table","B0B699MVP4","https://www.amazon.com/dp/B0B699MVP4?psc=1","https://m.media-amazon.com/images/I/81syRAnvWDL._AC_SX569_.jpg","Palama",29.99,576,17274.24,45980,"CN",17.17,1,4.7,200,8,25,"HomePalama","Home & Kitchen","Small Oversize","FBA","16.3x2.3x21.5","7.95",2022-07-11
"10","Main + Mesa Cuvee Wood Stool or End Table, White","B09BCXW2GJ","https://www.amazon.com/dp/B09BCXW2GJ?psc=1","https://m.media-amazon.com/images/I/51JabsLvhSL._AC_SY450_.jpg","Main + Mesa",239.99,NA,NA,844455,"AMZ",51.24,5,4.7,9,12,0,"Amazon","Home & Kitchen","Small Oversize","FBA","15.0x14.0x21.0","22.45",NA
