"","product_details","asin","url","image_url","brand","price","sales","revenue","bsr","seller_country_region","fees","active_sellers_number","ratings","review_count","images","review_velocity","buy_box","category","size_tier","fulfillment","dimensions","weight","creation_date"
"13","Nicehill Nightstand, Nightstand for Bedroom with Drawers, Small Dresser with Drawers, Bedside Table Bedside Furniture, Night Stand End Table with Storage Drawers for Bedroom, Black Wood Grain","B0BJ6K5HJ5","https://www.amazon.com/dp/B0BJ6K5HJ5?psc=1","https://m.media-amazon.com/images/I/71fTh+1AiaL._AC_SX679_.jpg","Nicehill",39.99,1447,57865.53,21069,"CN",15.89,1,4.6,214,7,32,"Nicehill Direct","Home & Kitchen","Large Standard-Size","FBA","12.6x5.4x17.2","11.09",2022-10-14
"14","Winsome Wood Henry Accent Table, Black, 19 inches","B000NPTUGM","https://www.amazon.com/dp/B000NPTUGM?psc=1","https://m.media-amazon.com/images/I/71yMAS5w8JL._AC_SY355_.jpg","Winsome",35,769,26915,27561,"AMZ",21.28,19,4.1,9070,10,48,"Amazon","Home & Kitchen","Small Oversize","AMZ","18.5x3.0x26.0","15.83",2005-07-26
"15","LUCKNOCK Nightstand, Mid-Century Modern Bedside Table with Solid Wood Legs, Adorable and Practical End Side Table with Open Storage Shelf, Fashion Bedroom Furniture White.","B09MLJS5HT","https://www.amazon.com/dp/B09MLJS5HT?psc=1","https://m.media-amazon.com/images/I/71YqYwJ-UAL._AC_SY450_.jpg","LUCKNOCK",39.99,625,24993.75,39061,"CN",15.89,1,4.5,261,6,20,"LUCKNOCK","Home & Kitchen","Large Standard-Size","FBA","13.2x4.7x16.9","11.07",2021-11-26
"16","WLIVE Nightstand, 2 Drawer Dresser for Bedroom, Small Dresser with 2 Drawers, Bedside Furniture, Night Stand, End Table with Fabric Bins for Bedroom, Closet, Dorm, Charcoal Black Wood Grain Print","B095397VYK","https://www.amazon.com/dp/B095397VYK?psc=1","https://m.media-amazon.com/images/I/81Cju3jTVuL._AC_SX425_.jpg","WLIVE",42.99,16155,694503.45,1454,"CN",19.96,1,4.4,11870,7,401,"WLIVE","Home & Kitchen","Small Oversize","FBA","12.7x3.5x22.0","9.55",2021-05-18
"17","Rolanstar End Table with Charging Station, 3 Tier Slim Nightstand with Storage Shelf, Narrow Side Table with USB Ports & Power Outlets, Steel Frame for Living Room, Bedroom, Rustic Brown","B09W9KJL78","https://www.amazon.com/dp/B09W9KJL78?psc=1","https://m.media-amazon.com/images/I/71neN2T0vyL._AC_SX569_.jpg","Rolanstar",39.99,1438,57505.62,18546,"CN",16.55,1,4.6,842,7,72,"RolanstarDirect","Home & Kitchen","Large Standard-Size","FBA","13.4x4.9x16.6","9.59",2022-05-23
"18","SOOWERY Mid Century Modern Nightstand with Charging Station, Bedside Tables with Glass Decorative Door, End Table Side Table with 2 Tiers Storage Space, for Bedroom, Living Room, White","B0B9258LKY","https://www.amazon.com/dp/B0B9258LKY?psc=1","https://m.media-amazon.com/images/I/61yAhaJLhcL._AC_SX569_.jpg","SOOWERY",69.99,1332,93226.68,21688,"CN",23.78,1,4.6,350,9,54,"SOOWERY Direct","Home & Kitchen","Large Standard-Size","FBA","13.5x7.6x17.4","18.74",2022-08-09
"19","LUCKNOCK Nightstand, Mid-Century Modern Bedside Tables with Storage Shelf, Minimalist and Practical End Side Table, Fashion Bedroom Furnitur,White.","B0B7K81BQN","https://www.amazon.com/dp/B0B7K81BQN?psc=1","https://m.media-amazon.com/images/I/71gmvG6TfGL._AC_SX679_.jpg","LUCKNOCK",41.99,1032,43333.68,29623,"CN",16.72,2,4.6,314,6,35,"LUCKNOCK","Home & Kitchen","Large Standard-Size","MFN","13.2x5.3x16.8","15.15",2022-07-25
"20","Casual Home Night Owl Nightstand with USB Ports-Warm Brown","B00KS3PMR0","https://www.amazon.com/dp/B00KS3PMR0?psc=1","https://m.media-amazon.com/images/I/71jpPcsOSAL._AC_SY450_.jpg","Casual Home",54.3,395,21448.5,81869,"AMZ",35.1,10,4.5,3148,13,9,"Amazon","Home & Kitchen","Small Oversize","AMZ","26.0x8.5x26.0","17.40",2014-05-30
"21","ADORNEVE Nightstand with Charging Station and LED Lights,Night Stand with Sliding Top,Bedside Table with Drawers,Modern End Side Table for Bedroom,Black","B0B387XLQR","https://www.amazon.com/dp/B0B387XLQR?psc=1","https://m.media-amazon.com/images/I/81XyTYtZSuL._AC_SY450_.jpg","ADORNEVE",129.99,697,90603.03,36588,"CN",47.71,1,4.4,322,8,42,"TFUS Household Direct","Home & Kitchen","Small Oversize","MFN","18.1x26.4x7.0","45.00",2022-06-06
"22","ZEXVIDA Small End Table Nightstand with Charging Station for Small Space,Bedside Table with Storage, Modern Industrial Sofa End Table for Small Place Living Room Bedroom Apartment, Rustic Brown","B0BTBWM4GH","https://www.amazon.com/dp/B0BTBWM4GH?psc=1","https://m.media-amazon.com/images/I/71bHKJonVKL._AC_SY450_.jpg","ZEXVIDA",47.99,121,5806.79,152069,"CN",18.37,1,4.6,32,9,10,"ZEXVIDA-USA","Home & Kitchen","Large Standard-Size","FBA","13.3x5.4x17.5","15.32",2023-01-29
