"","product_details","asin","url","image_url","brand","price","sales","revenue","bsr","seller_country_region","fees","active_sellers_number","ratings","review_count","images","review_velocity","buy_box","category","size_tier","fulfillment","dimensions","weight","creation_date"
"67","Treocho Farmhouse End Side Table, Rustic Vintage Nightstand with Shelf for Living Room, Bedroom, Grey Wash","B098Q5YZ7V","https://www.amazon.com/dp/B098Q5YZ7V?psc=1","https://m.media-amazon.com/images/I/61WZYq8rc8L._AC_SY450_.jpg","Treocho",59.99,172,10318.28,148039,"CN",28.39,2,4.4,175,8,6,"Treocho","Home & Kitchen","Small Oversize","FBA","23.8x4.0x24.2","23.60",2021-07-06
"68","ChooChoo White End Table, Flip Top Narrow Side Table for Small Spaces, Accent Nightstand Sofa Table for Living Room, Bedroom","B07S2QQXH4","https://www.amazon.com/dp/B07S2QQXH4?psc=1","https://m.media-amazon.com/images/I/81oOONm17IL._AC_SX679_.jpg","ChooChoo",64.99,801,52056.99,26464,"CN",30.4,10,4.4,2674,8,369,"ChooChoo Furniture","Home & Kitchen","Small Oversize","FBA","14.0x7.0x27.0","27.00",2019-08-15
"69","COTTON CRAFT Solid Wood Accent End Table - Hand Carved Vintage Boho Folding Side Table - Small Spaces Entryway Farmhouse Living Room Bedside - No Tools Assembly -18x18 Round - Jaipur Antique White","B00ULFLN78","https://www.amazon.com/dp/B00ULFLN78?psc=1","https://m.media-amazon.com/images/I/812gFTwZt7L._AC_SY450_.jpg","COTTON CRAFT",66.99,334,22374.66,79963,"US",26.08,4,4.3,526,8,7,"Orient Originals","Home & Kitchen","Small Oversize","FBA","18.5x6.4x18.8","13.35",2015-03-11
"70","KSWIN Industrial End Table Side Table with 2-Tier Storage Shelf, 18'' Square Nightstand Bedside Table X-Design Metal Frame for Living Room Bedroom, Rustic Brown","B08S49Y41X","https://www.amazon.com/dp/B08S49Y41X?psc=1","https://m.media-amazon.com/images/I/716RF85B2aL._AC_SY450_.jpg","KSWIN",64.98,277,17999.46,114564,"CN",27.04,1,4.7,394,7,6,"KSWIN","Home & Kitchen","Small Oversize","FBA","20.3x3.8x22.4","18.54",2021-01-05
"71","Treocho Black Nightstand X-Design, Modern Bedside Table with Drawer Storage Shelf, End Side Table for Bedroom","B09CDL3SBH","https://www.amazon.com/dp/B09CDL3SBH?psc=1","https://m.media-amazon.com/images/I/511aLtbVqxL._AC_SX569_.jpg","Treocho",59.99,267,16017.33,141856,"CN",28.81,3,4.3,84,6,2,"Treocho","Home & Kitchen","Small Oversize","FBA","18.0x7.0x27.3","21.90",2021-08-11
"72","Amazon Basics Round Storage End Table, Side Table with Cloth Basket - Charcoal/Heather Gray, 19 x 18 x 18 Inches","B07TTTG49V","https://www.amazon.com/dp/B07TTTG49V?psc=1","https://m.media-amazon.com/images/I/81Z9Xn8xiqL._AC_SX679_.jpg","Amazon Basics",41.61,NA,NA,1681,"AMZ",18.91,4,4.5,8520,6,0,"Amazon","Our Brands","Small Oversize","FBA","18.6x2.6x20.5","6.00",NA
"73","End Table with Charging Station, Narrow Side Table with USB Ports and Outlets, Flip Top Nightstand / Bedside Table / Sofa Couch Table for Small Spaces / Slim End Table for Living Room Bedroom Office","B09XF1BD3V","https://www.amazon.com/dp/B09XF1BD3V?psc=1","https://m.media-amazon.com/images/I/813ERoU0RUL._AC_SY355_.jpg","TILLMAO",59.99,921,55250.79,29529,"CN",21.8,3,4.7,517,7,42,"Weili-TECH","Home & Kitchen","Large Standard-Size","FBA","13.9x6.1x17.2","17.39",2022-08-31
"74","Convenience Concepts American Heritage Flip Top End Table with Shelf, Walnut","B074T4VYJ7","https://www.amazon.com/dp/B074T4VYJ7?psc=1","https://m.media-amazon.com/images/I/61RNhgYH1lL._AC_SX679_.jpg","Convenience Concepts",44.09,200,8818,56920,"AMZ",23.9,12,4.5,2636,5,9,"Amazon","Home & Kitchen","Small Oversize","AMZ","14.3x6.6x27.3","17.05",2017-08-14
"75","Walker Edison Sedalia Modern Farmhouse Metal X Side Table, 18 Inch, Grey Wash","B07G5FHFDF","https://www.amazon.com/dp/B07G5FHFDF?psc=1","https://m.media-amazon.com/images/I/81A1XzATAkL._AC_SX569_.jpg","Walker Edison",35.89,1153,41381.17,26659,"AMZ",28.7,3,4.6,8117,13,32,"Amazon","Home & Kitchen","Small Oversize","AMZ","24.0x7.0x25.6","31.00",NA
"76","WLIVE End Table with Charging Station, Side Table with USB Ports and Outlets, Narrow Side Table for Small Spaces, Living Room, Couch, Nightstand with Storage, Espresso","B0BJ6Z9S6M","https://www.amazon.com/dp/B0BJ6Z9S6M?psc=1","https://m.media-amazon.com/images/I/71jU1MfTYnL._AC_SX569_.jpg","WLIVE",89.99,124,11158.76,142525,"CN",34.15,1,4.4,37,7,5,"WLIVE","Home & Kitchen","Small Oversize","FBA","25.0x5.5x27.0","26.91",2022-10-14
