"","product_details","asin","url","image_url","brand","price","sales","revenue","bsr","seller_country_region","fees","active_sellers_number","ratings","review_count","images","review_velocity","buy_box","category","size_tier","fulfillment","dimensions","weight","creation_date"
"13","CubiCubi C Shaped End Table, Side Table for Couch and Bed, Rustic Table Living Room Bedroom, Small Table with Metal Frames, Modern Design, White","B092HJRLC3","https://www.amazon.com/dp/B092HJRLC3?psc=1","https://m.media-amazon.com/images/I/615lMcPEj+L._AC_SX425_.jpg","CubiCubi",33.99,608,20665.92,39577,"CN",13.87,14,4.5,880,8,25,"EleTab","Home & Kitchen","Large Standard-Size","FBA","13.2x2.8x17.7","7.87",2021-04-14
"14","LUCKNOCK Nightstand, Mid-Century Modern Bedside Tables with Storage Shelf, Minimalist and Practical End Side Table, Fashion Bedroom Furnitur,Rustic Brown.","B0BK8F8KWQ","https://www.amazon.com/dp/B0BK8F8KWQ?psc=1","https://m.media-amazon.com/images/I/71tqW809hDL._AC_SX466_.jpg","LUCKNOCK",39.99,1013,40509.87,29623,"CN",18.16,1,4.6,314,6,35,"LUCKNOCK","Home & Kitchen","Large Standard-Size","FBA","13.2x5.5x16.9","15.32",2022-10-24
"15","APEXCHASER Metal Side Table, 3-Tier Modern Style End Table with Storage Shelf, Side Table for Small Spaces, Fashionable Coffee Table for Living Room, Bedroom,Pink","B0BX9QJTWK","https://www.amazon.com/dp/B0BX9QJTWK?psc=1","https://m.media-amazon.com/images/I/71SVCJ15KuL._AC_SX466_.jpg","APEXCHASER",39.99,363,14516.37,49681,"CN",15.41,1,4.2,23,6,14,"TR Trading Store","Home & Kitchen","Large Standard-Size","FBA","12.6x7.3x17.2","7.94",2023-03-02
"16","danpinera 2 Tier Metal Side Table with Removable Tray, Folding End Table Outdoor Side Table Small Accent Table, Anti-Rust Green Nightstand for Bedroom Balcony Patio (Dark Green)","B09GKGWZP3","https://www.amazon.com/dp/B09GKGWZP3?psc=1","https://m.media-amazon.com/images/I/614WQjNZIaL._AC_SY355_.jpg","danpinera",49.99,734,36692.66,11751,"CN",20.59,1,4.4,607,8,23,"LongT HOME","Patio, Lawn & Garden","Small Oversize","FBA","18.0x3.3x21.3","8.10",2021-05-09
"17","GIOPACO Small End Table with Charging Station and USB Ports, Small Side Table Nightstand with 2-Layer Storage Shelves for Small Spaces, Living Room, Bedroom, Rustic Brown (1)","B0BVYQ3H54","https://www.amazon.com/dp/B0BVYQ3H54?psc=1","https://m.media-amazon.com/images/I/61oIAfrPHUL._AC_SY450_.jpg","GIOPACO",34.99,495,17320.05,50305,"CN",14.34,1,4.5,29,9,13,"GIOPACO OFFICIAL","Home & Kitchen","Large Standard-Size","FBA","13.6x3.6x17.0","8.77",2023-02-16
"18","HAYOFAMY 3 Tier End Table Night Stand, Narrow Side Table with Display Shelf, Small Bookcase Bookshelf, Simple Bedside Table Storage Rack for Bedroom, Living Room, Office, Bathroom (White, 3 Tier)","B0BPPR7122","https://www.amazon.com/dp/B0BPPR7122?psc=1","https://m.media-amazon.com/images/I/61NfPhAu-dL._AC_SY450_.jpg","HAYOFAMY",27.68,504,13950.72,63655,"CN",12.44,1,3.6,27,8,6,"HAYOFAMY","Home & Kitchen","Large Standard-Size","FBA","9.8x16.3x3.5","6.33",2022-12-10
"19","Furinno Andrey End Table / Side Table / Night Stand / Bedside Table with Bin Drawer, Espresso/Brown","B004UME2PS","https://www.amazon.com/dp/B004UME2PS?psc=1","https://m.media-amazon.com/images/I/610cB5E0v1L._AC_SX466_.jpg","Furinno",16.3,5817,94817.1,3607,"AMZ",17.22,11,4.1,54120,9,427,"Amazon","Home & Kitchen","Small Oversize","AMZ","17.4x3.2x19.9","12.05",2011-03-31
"20","WLIVE End Table, 2-Tier Small Side Table with Open Storage, Narrow Side Stand for Bedroom, Living Room, Couch, Modern End Stand with Sturdy Metal Frame, Sturdy Easy Assembly,Rustic Brown and Black","B0BCKF7NXF","https://www.amazon.com/dp/B0BCKF7NXF?psc=1","https://m.media-amazon.com/images/I/71M22fouH1L._AC_SX569_.jpg","WLIVE",25.99,1803,46859.97,21696,"CN",12.83,1,4.4,114,8,19,"SYL-HOME","Home & Kitchen","Large Standard-Size","FBA","13.1x2.7x17.1","8.30",2022-08-31
"21","Amazon Basics Round Storage End Table, Side Table with Cloth Basket - Charcoal/Heather Gray, 19 x 18 x 18 Inches","B07TTTG49V","https://www.amazon.com/dp/B07TTTG49V?psc=1","https://m.media-amazon.com/images/I/81Z9Xn8xiqL._AC_SX679_.jpg","Amazon Basics",41.61,NA,NA,1681,"AMZ",18.91,4,4.5,8520,6,0,"Amazon","Our Brands","Small Oversize","FBA","18.6x2.6x20.5","6.00",NA
"22","HOOBRO Side Table with Charging Station, End Table with USB Ports and Outlet, Nightstand with 2-Layer Storage Shelves for Small Spaces, Living Room, Bedroom, Stable Frame, Rustic Brown BF09UBZ01","B0B9GXLK1P","https://www.amazon.com/dp/B0B9GXLK1P?psc=1","https://m.media-amazon.com/images/I/618WGX6c5rL._AC_SX466_.jpg","HOOBRO",29.99,1665,49933.35,15821,"CN",13.27,5,4.4,126,9,23,"Hoobro","Home & Kitchen","Large Standard-Size","FBA","12.0x4.2x17.3","8.18",2022-08-12
"23","VASAGLE Round End Table with Lower Shelf, Nightstand for Small Spaces, Modern Farmhouse Style, 15.8”Dia. x 19.7”H (40 x 50 cm), Rustic Walnut","B0B18NB7ZF","https://www.amazon.com/dp/B0B18NB7ZF?psc=1","https://m.media-amazon.com/images/I/71CMKkWecRL._AC_SX425_.jpg","VASAGLE",39.99,293,11717.07,54985,"AMZ",19.93,3,4.5,94,8,15,"Amazon","Home & Kitchen","Small Oversize","AMZ","17.6x3.4x22.4","10.90",NA
"24","AWASEN Side Table Round, Small Accent Table Nightstand Modern End Table for Living Room Bedroom Office Small Spaces, 16''D x 19.5''H(Natural Walnut)","B09FJ9KWXF","https://www.amazon.com/dp/B09FJ9KWXF?psc=1","https://m.media-amazon.com/images/I/51JB3dKZ2BL._AC_SY450_.jpg","AWASEN",38.99,1266,49361.34,21397,"CN",18.1,1,4.6,907,7,64,"Awasen Direct","Home & Kitchen","Small Oversize","FBA","17.5x3.0x18.0","5.93",2021-09-06
"25","AWASEN Side Table, Small End Accent Table for Living Room Bedroom Office Small Spaces, Modern White Side Table Nightstand with Solid Wood, Easy Assembly, (White)","B0BYMWHZJC","https://www.amazon.com/dp/B0BYMWHZJC?psc=1","https://m.media-amazon.com/images/I/51ihJ0cmhsL._AC_SX425_.jpg","AWASEN",25.99,NA,NA,103020,"CN",12.03,1,4.6,57,6,5,"Awasen Direct","Home & Kitchen","Large Standard-Size","FBA","13.7x2.8x17.0","5.89",2023-03-16
"26","WLIVE Side Table, Small End Table, Adjustable 3-Tier Bedside Table with Sturdy Metal Frame, Tall Nightstand for Bedroom, Living Room, Sofa Table for Small Space, Black","B0B8YQKZTZ","https://www.amazon.com/dp/B0B8YQKZTZ?psc=1","https://m.media-amazon.com/images/I/71MimR-GPoL._AC_SX522_.jpg","WLIVE",25.99,849,22065.51,43024,"CN",14.46,1,4.5,112,9,16,"WLIVE","Home & Kitchen","Large Standard-Size","FBA","13.2x3.3x17.8","10.36",2022-08-05
"27","Tribesigns Wood End Table, 2-Drawer Narrow Solid Side Table Slim Chair Side Table, No Assembly Required, Finished Back, Walnut","B0BNVDY12F","https://www.amazon.com/dp/B0BNVDY12F?psc=1","https://m.media-amazon.com/images/I/71bxNFV1zzL._AC_SX569_.jpg","Tribesigns",239.99,64,15359.36,511035,"CN",55.91,1,5,5,6,1,"XDYZ US","Home & Kitchen","Small Oversize","MFN","32.0x15.0x7.1","30.00",2022-12-02
"28","Monarch Specialties , Nesting Table, Chrome Metal, Glossy White, Table Set, 2 pcs","B008V6R8UA","https://www.amazon.com/dp/B008V6R8UA?psc=1","https://m.media-amazon.com/images/I/41f54v0o8YL._AC_SY450_.jpg","Monarch Specialties",164.71,20,3294.2,624014,"AMZ",46.62,11,4.7,734,4,0,"Amazon","Home & Kitchen","Small Oversize","AMZ","22.0x7.0x23.5","30.01",2012-08-08
"29","Winsome Eugene Table, White","B0046EC0HW","https://www.amazon.com/dp/B0046EC0HW?psc=1","https://m.media-amazon.com/images/I/61JveBx0KBL._AC_SX569_.jpg","Winsome",41.21,2923,120456.83,5308,"AMZ",23.89,18,4.1,24330,11,76,"Amazon","Home & Kitchen","Small Oversize","AMZ","17.9x4.3x26.6","19.35",2003-10-02
"30","MENYCNJ C Shaped Table for safa Small C Side Table for Living Room and Small Spaces- Easy Assembly, C Shaped Round End Table for Couch and Bed, Night Stand for Bedroom, Wood/Black","B0BZZTL5RS","https://www.amazon.com/dp/B0BZZTL5RS?psc=1","https://m.media-amazon.com/images/I/51OodfZCsnL._AC_SY355_.jpg","MENYCNJ",55.99,NA,NA,55612,"CN",22.9,1,2,4,6,2,"HengTuo Int'l Trade","Home & Kitchen","Small Oversize","FBA","13.4x4.0x24.5","5.25",2023-03-30
"31","Convenience Concepts Oxford End Table with Shelves, Gray","B01LZFJ957","https://www.amazon.com/dp/B01LZFJ957?psc=1","https://m.media-amazon.com/images/I/61+Menv-2dL._AC_SX679_.jpg","Convenience Concepts",36.54,699,25541.46,18976,"AMZ",24.03,20,4.6,6846,14,27,"Amazon","Home & Kitchen","Small Oversize","AMZ","19.5x5.9x26.0","19.23",2016-09-11
"32","Frenchi Furniture Magazine Table Finish: White","B006T3R5HI","https://www.amazon.com/dp/B006T3R5HI?psc=1","https://m.media-amazon.com/images/I/41iT+49l1FL._AC_SY355_.jpg","Frenchi Furniture",14.82,176,2608.32,40753,"AMZ",18.67,9,4.6,1467,1,3,"Amazon","Home & Kitchen","Small Oversize","AMZ","18.0x5.2x25.2","10.80",2012-01-03
"33","Grey Nightstand with Charging Station Bedroom End Tables with USB Ports and Outlets 3 Tier Bed Side Table with Storage Shelves Farmhouse Night Stand Table with Power Charging for Living Room Study","B0BFJC3NCJ","https://www.amazon.com/dp/B0BFJC3NCJ?psc=1","https://m.media-amazon.com/images/I/61e5KuACP7L._AC_SY450_.jpg","NORCEESAN",39.99,637,25473.63,37696,"CN",15.89,1,4.5,171,7,42,"NORCEESAN DIRECT","Home & Kitchen","Large Standard-Size","MFN","13.7x6.2x17.6","11.33",2022-09-16
"34","Fixwal Side Table 2-Tier Tall End Table with Storage Rack Wooden Nightstand White Bedside Table for Living Room Bedroom Office No-Tool Assembly","B0BY12CDQ2","https://www.amazon.com/dp/B0BY12CDQ2?psc=1","https://m.media-amazon.com/images/I/61SL4G7MxsL._AC_SY450_.jpg","Fixwal",21.99,NA,NA,165534,"CN",11.91,1,4.6,9,7,0,"Momok","Home & Kitchen","Large Standard-Size","FBA","13.1x3.0x16.9","7.45",2023-03-10
"35","Furinno Simplistic Set of 2 End Table, French Oak Grey/Grey","B00OR1KO22","https://www.amazon.com/dp/B00OR1KO22?psc=1","https://m.media-amazon.com/images/I/51FAiTCFaHL._AC_SX466_.jpg","Furinno",26.41,7889,208348.49,1209,"AMZ",20.14,8,4.3,40235,7,208,"Amazon","Home & Kitchen","Small Oversize","AMZ","17.0x3.5x21.0","13.15",2014-10-22
"36","HOOBRO Nightstands Set of 2, 3-Tier Side Table with Adjustable Shelf, Industrial End Table for Small Space in Living Room, Bedroom and Balcony, Stable Metal Frame, Rustic Brown BF12BZ01","B097R1TXD1","https://www.amazon.com/dp/B097R1TXD1?psc=1","https://m.media-amazon.com/images/I/71qfcWSFpKL._AC_SX425_.jpg","HOOBRO",49.99,389,19446.11,134392,"CN",17.94,3,4.5,671,10,115,"Hoobro","Home & Kitchen","Large Standard-Size","FBA","12.2x6.3x16.1","16.58",2021-06-23
