"product_details","asin","url","image_url","brand","price","sales","revenue","bsr","seller_country_region","fees","active_sellers_number","ratings","review_count","images","review_velocity","buy_box","category","size_tier","fulfillment","dimensions","weight","creation_date"
"AOJEZOR Round End Tables Living Room,Narrow Night Stands Round Side Table for Bedrooms, Cute Gold Coffee Table,Pedestal Plant Stand for Balcony, Black Tray with 3 Legged Gold Accent Table","B08THDLJ9G","https://www.amazon.com/dp/B08THDLJ9G?psc=1","https://m.media-amazon.com/images/I/61Cjqq5wGhL._AC_SX569_.jpg","AOJEZOR",39.98,3868,154642.64,4644,"CN",19.23,4,4.6,3277,6,60,"Aojezor","Home & Kitchen","Small Oversize","FBA","19.3x2.6x23.0","6.60",2021-01-20
"Frenchi Home Furnishing End Table/Side Table, Espresso Finish","B000FSHE3I","https://www.amazon.com/dp/B000FSHE3I?psc=1","https://m.media-amazon.com/images/I/71wS0poW4QL._AC_SY450_.jpg","Frenchi Furniture",40.89,764,31239.96,32929,"AMZ",26.78,4,4.6,5339,3,26,"Amazon","Home & Kitchen","Small Oversize","AMZ","14.0x10.0x26.0","17.50",NA
"BEWISHOME Round End Table Side Table with Metal Frame, Accent Table Nightstand Bedside Table with 3-Tier Shelves, Small Table for Living Room Bedroom Couch Table Small Coffee Table Rustic Brown KTZ41Z","B0B6FZ11BS","https://www.amazon.com/dp/B0B6FZ11BS?psc=1","https://m.media-amazon.com/images/I/81GzK8AqynL._AC_SY741_.jpg","BEWISHOME",59.99,309,18536.91,100410,"CN",23.77,1,4.5,62,7,11,"BEWISHOME","Home & Kitchen","Small Oversize","FBA","16.0x4.5x24.5","10.95",2022-08-30
"Winsome Wood Claire Accent Table, Black","B000NPSGPS","https://www.amazon.com/dp/B000NPSGPS?psc=1","https://m.media-amazon.com/images/I/71fJ0TjspXL._AC_SY355_.jpg","Winsome",35.16,1542,54216.72,19423,"AMZ",23.4,25,4.4,19526,11,83,"Amazon","Home & Kitchen","Small Oversize","FBA","19.4x4.7x23.1","20.05",2000-11-01
"danpinera Side Table, End Table for Small Spaces Accent Metal Bedside Table Round Small End Table, Outdoor Side Table Indoor Snack Table Accent Patio Side Table Anti-Rust and Waterproof Dark Green","B08CC17XXB","https://www.amazon.com/dp/B08CC17XXB?psc=1","https://m.media-amazon.com/images/I/61gHI3VxkuL._AC_SX425_.jpg","danpinera",35.98,1744,62749.12,5356,"US",17.64,1,4.5,6001,9,32,"Kying Story","Patio, Lawn & Garden","Small Oversize","FBA","18.3x1.9x20.8","6.65",2020-11-10
"ChooChoo Narrow Console Table, Chic Accent Sofa Table, Entryway Table, Espresso","B07SYJ189D","https://www.amazon.com/dp/B07SYJ189D?psc=1","https://m.media-amazon.com/images/I/71iJC5hieNL._AC_SX569_.jpg","ChooChoo",79.99,1022,81749.78,33628,"CN",32.65,2,4.5,3046,5,49,"ChooChoo Furniture","Home & Kitchen","Small Oversize","FBA","15.2x5.0x43.8","26.95",2019-09-24
"FORAOFUR Side Table, Small End Table Accent Table Living Room Bedroom Balcony Office, Modern Side Table Bedside Table Home Decor, Easy Assembly","B09TFHLB3J","https://www.amazon.com/dp/B09TFHLB3J?psc=1","https://m.media-amazon.com/images/I/51UCaA8FFXL._AC_SX425_.jpg","FORAOFUR",23.39,1844,43131.16,12050,"CN",11.32,1,4.6,413,7,36,"HAITE HOME","Home & Kitchen","Large Standard-Size","FBA","13.3x2.8x17.2","4.59",2022-02-25
"Ameriwood Home Franklin Accent Table 2 Drawers, Black","B06WD4YD17","https://www.amazon.com/dp/B06WD4YD17?psc=1","https://m.media-amazon.com/images/I/61z+YcTJk9L._AC_SX425_.jpg","Ameriwood Home",69.61,902,62788.22,20771,"AMZ",34.86,8,4.6,2865,6,32,"Amazon","Home & Kitchen","Small Oversize","AMZ","23.5x6.2x31.1","35.11",NA
"Palama Small Side Table for Living Room, Modern Home Décor Gold Side Table, Easy Assembly Small Gold Table, Gold Accent Table","B0B699MVP4","https://www.amazon.com/dp/B0B699MVP4?psc=1","https://m.media-amazon.com/images/I/81syRAnvWDL._AC_SX569_.jpg","Palama",29.99,576,17274.24,45980,"CN",17.17,1,4.7,200,8,25,"HomePalama","Home & Kitchen","Small Oversize","FBA","16.3x2.3x21.5","7.95",2022-07-11
"Main + Mesa Cuvee Wood Stool or End Table, White","B09BCXW2GJ","https://www.amazon.com/dp/B09BCXW2GJ?psc=1","https://m.media-amazon.com/images/I/51JabsLvhSL._AC_SY450_.jpg","Main + Mesa",239.99,NA,NA,844455,"AMZ",51.24,5,4.7,9,12,0,"Amazon","Home & Kitchen","Small Oversize","FBA","15.0x14.0x21.0","22.45",NA
"Tribesigns End Table Set of 2, Sofa Side Table with Storage No Assembly Required, Slim Nightstand with 2 Drawers, Vintage Wood Chairside Bedside Narrow Accent Tables for Living Room Bedroom Couch","B0BP7H2VNN","https://www.amazon.com/dp/B0BP7H2VNN?psc=1","https://m.media-amazon.com/images/I/81BLfOvvsbL._AC_SX569_.jpg","Tribesigns",475.99,56,26655.44,283748,"CN",95.89,1,4.9,19,9,0,"jiancai","Home & Kitchen","Small Oversize","MFN","13.8x26.8x26.0","37.47",2022-12-06
"Furologee Console Table with 2 Drawers, Industrial Sofa Table, Entryway Table with 3-Tier Storage Shelves, Narrow Accent Table Metal Frame for Living Room/Entryway/Hallway, Rustic Brown","B097DN5MFJ","https://www.amazon.com/dp/B097DN5MFJ?psc=1","https://m.media-amazon.com/images/I/81aJDUjUc3L._AC_SX466_.jpg","Furologee",89.99,845,76041.55,31380,"CN",35.4,5,4.4,935,9,51,"Engriy Store","Home & Kitchen","Small Oversize","FBA","12.7x4.8x41.3","29.06",2021-06-17
"Deco 79 Aluminum Drip Accent Table with Melting Designed Legs and Shaded Glass Top, 16"" x 16"" x 24"", Silver","B097QGTZ4J","https://www.amazon.com/dp/B097QGTZ4J?psc=1","https://m.media-amazon.com/images/I/71bIDYB5i5S._AC_SX466_.jpg","Deco 79",190.79,356,67921.24,96815,"AMZ",63.55,11,4.5,382,9,18,"Amazon","Home & Kitchen","Small Oversize","AMZ","17.4x17.3x28.0","16.20",NA
"Christopher Knight Home Jerod Light-Weight Concrete Accent Table, Black","B07F6652WW","https://www.amazon.com/dp/B07F6652WW?psc=1","https://m.media-amazon.com/images/I/51VSQWEb0uL._AC_SY450_.jpg","Christopher Knight Home",88.24,343,30266.32,74597,"US",39.92,9,4.4,552,7,6,"Deal Box Center","Home & Kitchen","Small Oversize","MFN","16.1x15.7x20.9","20.55",2018-07-01
"ECOMEX Round End Table,Tall Side Table with Drawer and Shelf, 2 Tier Classic Brown Wood Accent Table Sofa Side Table for Bedroom,Office, Small Spaces, Vintage European Style (Black)","B0B426NX6H","https://www.amazon.com/dp/B0B426NX6H?psc=1","https://m.media-amazon.com/images/I/51PlgkSuGWL._AC_SX425_.jpg","ECOMEX",69.99,87,6089.13,529313,"CN",31.99,1,4.4,20,9,4,"LIVABLE HOME","Home & Kitchen","Small Oversize","MFN","23.1x6.3x27.0","16.70",2022-06-14
"FirsTime & Co. Miles Rustic Table, 22""H x 16""W x 16""D, Natural, Aged Black","B07JQDN3T8","https://www.amazon.com/dp/B07JQDN3T8?psc=1","https://m.media-amazon.com/images/I/9136eXzArSL._AC_SY450_.jpg","FirsTime & Co.",52.22,96,5013.12,504142,"AMZ",24.24,19,4.2,705,6,1,"Amazon","Home & Kitchen","Small Oversize","FBA","16.8x6.0x23.5","7.90",NA
"Yaheetech 3-Tier Console Table for Entryway, 39.5 Inch Entryway Table with Drawer and 2 Storage Shelves, Narrow Wood Accent Table for Entryway/Hallway/Living Room/Foyer, Black","B081KTQF4Q","https://www.amazon.com/dp/B081KTQF4Q?psc=1","https://m.media-amazon.com/images/I/61KgXZLF23L._AC_SY450_.jpg","Yaheetech",79.99,387,30956.13,83214,"US",40.63,1,4.6,2039,9,26,"Yaheetech","Home & Kitchen","Small Oversize","MFN","15.4x5.5x44.9","45.20",2019-11-16
"Gold End Tables Set of 2, Faux Marble Side Table for Living Room, Bedroom or Small Spaces, Small Nightstand with Storage Shelf, Easy Assembly, 2-Pack, Modern Style Accent Table","B0C16QBP8V","https://www.amazon.com/dp/B0C16QBP8V?psc=1","https://m.media-amazon.com/images/I/61-mzWT76AL._AC_SX522_.jpg","Possile",49.99,58,2899.42,91300,"CN",18.86,1,4.3,28,9,1,"Possile Store","Home & Kitchen","Large Standard-Size","FBA","13.0x5.4x16.9","13.05",2023-04-01
"HOOBRO Round Side Table, Round Accent End Table with Sturdy X-Shaped Metal Frame, 15.7"" Round Nightstand, for Living Room, Bedroom, Balcony, Office Rustic Brown BF95BZ01","B09X39XJQJ","https://www.amazon.com/dp/B09X39XJQJ?psc=1","https://m.media-amazon.com/images/I/61Yb+NUvviL._AC_SY450_.jpg","HOOBRO",33.99,460,15635.4,40545,"CN",17.77,4,4.6,107,9,43,"Hoobro","Home & Kitchen","Small Oversize","FBA","17.4x2.1x17.9","7.20",2022-08-02
"ChooChoo Console Table with Drawers, Narrow Wood Accent Sofa Table Entryway Table with Storage Shelf for Entryway, Front Hall, Hallway, Living Room, Black","B09SPQDQ1X","https://www.amazon.com/dp/B09SPQDQ1X?psc=1","https://m.media-amazon.com/images/I/81SWssP+fOL._AC_SX425_.jpg","ChooChoo",99.99,733,73292.67,51383,"CN",41.53,3,4.4,1923,6,34,"ChooChoo Furniture","Home & Kitchen","Small Oversize","FBA","14.5x7.5x43.5","40.91",2022-02-17
"Decor Therapy Simplify Wood Accent Storage Shelf End Table, 24 x 19.5 x 15.75, Blue Gray","B00JSRCOQE","https://www.amazon.com/dp/B00JSRCOQE?psc=1","https://m.media-amazon.com/images/I/71TX-BHilzL._AC_SY450_.jpg","Decor Therapy",61.42,455,27946.1,83080,"AMZ",29.44,3,4.7,2898,9,6,"Amazon","Home & Kitchen","Small Oversize","FBA","19.8x7.7x23.2","16.53",2014-04-19
"ALLOSWELL Small Side Table, End Table with Storage Shelf, 14.6 x 10.6 x 19.9 Inches, Nightstand X-Shaped Design, Bedside Table, Steel Frame, Living Room, Bedroom, Easy Assembly, Rustic Brown ETHR2801","B09G2L33ZX","https://www.amazon.com/dp/B09G2L33ZX?psc=1","https://m.media-amazon.com/images/I/717EXLXHa4L._AC_SX425_.jpg","ALLOSWELL",19.99,486,9715.14,24952,"CN",11.93,7,4.3,471,9,27,"ALLOSWELL","Home & Kitchen","Large Standard-Size","FBA","13.2x3.4x17.3","8.38",2022-01-06
"Apicizon Round Side Table, White Nightstand Coffee End Table for Living Room, Bedroom, Small Spaces, Easy Assembly Modern Home Decor Bedside Table with Natural Wood Legs, 16.5 x 20.5 Inches","B08LYPSDNY","https://www.amazon.com/dp/B08LYPSDNY?psc=1","https://m.media-amazon.com/images/I/61+87WmxrzS._AC_SY450_.jpg","Apicizon",36.99,2071,76606.29,13040,"CN",17.8,1,4.5,1923,9,42,"APICIZON","Home & Kitchen","Small Oversize","FBA","18.0x2.8x18.0","4.70",2021-02-02
"CubiCubi Round End Table, Side Table with Wooden Shelves, 2-Tier Rustic Vintage Table for Living Room Bedroom, Metal Frames and Wooden Boards, Rustic Brown","B08ZS5J8TC","https://www.amazon.com/dp/B08ZS5J8TC?psc=1","https://m.media-amazon.com/images/I/61zebNttwcS._AC_SY450_.jpg","CubiCubi",39.99,463,18515.37,78056,"CN",19.09,6,4.6,619,6,25,"Tespo Store","Home & Kitchen","Small Oversize","FBA","17.9x2.6x26.0","7.70",2021-03-23
"Furinno Turn-N-Tube End Table, Dark Cherry/Black , 1-Pack","B00DMBU61C","https://www.amazon.com/dp/B00DMBU61C?psc=1","https://m.media-amazon.com/images/I/41ALyViOmNL._AC_SY450_.jpg","Furinno",20.99,45338,951644.62,417,"AMZ",16.39,9,4.5,86910,4,1116,"Amazon","Home & Kitchen","Small Oversize","AMZ","14.5x3.3x19.8","6.95",2013-06-13
"Frenchi Furniture Magazine Table Finish: White","B006T3R5HI","https://www.amazon.com/dp/B006T3R5HI?psc=1","https://m.media-amazon.com/images/I/41iT+49l1FL._AC_SY355_.jpg","Frenchi Furniture",14.82,176,2608.32,40753,"AMZ",18.67,9,4.6,1467,1,3,"Amazon","Home & Kitchen","Small Oversize","AMZ","18.0x5.2x25.2","10.80",2012-01-03
"HLR Side Table Round, Small Wood End Table for Living Room, Bedroom and Small Spaces, Modern Nightstand Bedside Table with Easy Assembly Black Legs, Black Top","B0BJJDKP6B","https://www.amazon.com/dp/B0BJJDKP6B?psc=1","https://m.media-amazon.com/images/I/81SHCh7CnzL._AC_SY450_.jpg","HLR",38.99,130,5068.7,200404,"CN",17.68,1,4.3,37,7,2,"Cozy homedecor","Home & Kitchen","Small Oversize","FBA","16.4x2.5x17.0","5.10",2022-10-18
"IOTXY Home Round Coffee Table - 15.7"" Small 2-Tier End Table with Open Storage Shelf, White Wooden Table Top Gold Metal Frame Side Table","B08HZ7CZRX","https://www.amazon.com/dp/B08HZ7CZRX?psc=1","https://m.media-amazon.com/images/I/51odvSD67jL._AC_SX569_.jpg","IOTXY",39.99,153,6118.47,173361,"CN",19.09,1,4.3,166,7,4,"YUKEE DIRECT","Home & Kitchen","Small Oversize","FBA","16.6x2.3x18.5","8.20",2020-09-14
"Convenience Concepts Oxford Console Table with Shelf, White","B00WGGF466","https://www.amazon.com/dp/B00WGGF466?psc=1","https://m.media-amazon.com/images/I/713nh3hOWlL._AC_SX466_.jpg","Convenience Concepts",80.99,718,58150.82,19886,"AMZ",34.63,21,4.6,8373,7,54,"Amazon","Home & Kitchen","Small Oversize","FBA","15.0x6.0x42.0","28.70",2015-04-14
"Tajsoon Console Table, Industrial entryway Table, Narrow Sofa Table with Shelves,Entrance Table for Entryway, Hallway, Living Room, Foyer, Corridor, Office, Rustic Brown and Black","B0989DQJ9L","https://www.amazon.com/dp/B0989DQJ9L?psc=1","https://m.media-amazon.com/images/I/814rUarzH8L._AC_SY450_.jpg","Tajsoon",59.99,2608,156453.92,14121,"CN",19.85,1,4.5,1195,7,77,"tajsoon","Home & Kitchen","Large Standard-Size","FBA","12.4x4.0x16.8","14.22",2021-06-30
"Furinno Simple Design End/SideTable, Espresso","B003VP10PK","https://www.amazon.com/dp/B003VP10PK?psc=1","https://m.media-amazon.com/images/I/51s0FECr-BL._AC_SY355_.jpg","Furinno",10.24,1653,16926.72,4026,"AMZ",15.89,7,4.4,10488,9,83,"Amazon","Home & Kitchen","Small Oversize","AMZ","22.0x2.1x22.7","11.90",2011-08-23
"Furinno Andrey End Table / Side Table / Night Stand / Bedside Table with Bin Drawer, Espresso/Brown","B004UME2PS","https://www.amazon.com/dp/B004UME2PS?psc=1","https://m.media-amazon.com/images/I/610cB5E0v1L._AC_SX466_.jpg","Furinno",16.3,5817,94817.1,3607,"AMZ",17.22,11,4.1,54120,9,427,"Amazon","Home & Kitchen","Small Oversize","AMZ","17.4x3.2x19.9","12.05",2011-03-31
"Round End Table Wood Round Side Table for Small Spaces,Vintage Outdoor Farmhouse End Table For Living Room, Balcony, Countyard, Sofa, Bedroom, Industrial Narrow Coffee Table in Black and Brown","B09V7NYBLS","https://www.amazon.com/dp/B09V7NYBLS?psc=1","https://m.media-amazon.com/images/I/61Womx0BxJL._AC_SX679_.jpg","Feyejade",49.99,50,2499.5,253225,"CN",23.26,1,4.7,47,7,1,"Yuminghua","Home & Kitchen","Small Oversize","FBA","18.5x4.0x23.5","8.95",2022-03-10
"Walker Edison Cora Modern Faux Marble Round Accent Table with X Base, 16 Inch, Marble and Gold","B0718Z3G9D","https://www.amazon.com/dp/B0718Z3G9D?psc=1","https://m.media-amazon.com/images/I/51JtOvjyA5L._AC_SX466_.jpg","Walker Edison",47.59,490,23319.1,45318,"AMZ",21.91,3,4.3,5401,8,7,"Amazon","Home & Kitchen","Small Oversize","FBA","19.4x3.4x26.6","9.03",NA
"Gold Console Table, Glass Sofa Tables, Modern Open Hallway Table, Narrow Entryway Table, Slim Accent Porch Table, Couch Side Table with Golden Metal Frame, Easy Assembly, Minimalist Style (Glass Top)","B08R7LHY5L","https://www.amazon.com/dp/B08R7LHY5L?psc=1","https://m.media-amazon.com/images/I/81c+FHwfnzL._AC_SY450_.jpg","Wimarsbon",59.99,220,13197.8,153225,"CN",22.75,1,4.4,133,8,9,"Wimarsbon Express","Home & Kitchen","Small Oversize","MFN","14.0x7.0x44.8","16.80",2020-12-23
"Goroly Home Hand Crafted Solid Wood Accent Table, Side Table, Entryway Table, Wooden End Table, Octagonal Wooden Table - 12 Inch Round Top x 12 Inch High - White Wash","B0BLNTX829","https://www.amazon.com/dp/B0BLNTX829?psc=1","https://m.media-amazon.com/images/I/81fKEToZr7L._AC_SY450_.jpg","Goroly Home",54.99,49,2694.51,225617,"IN",17.18,1,4.3,54,9,1,"Goroly Home","Home & Kitchen","Large Standard-Size","FBA","13.2x5.8x14.5","7.56",2023-01-13
"danpinera 2-Tier End Table, Outdoor Side Table Metal Round Side Table with Removable Tray, Small Folding Accent Table, Anti-Rust Nightstand for Bedroom Balcony Patio Living Room (Gold)","B094FFGB2P","https://www.amazon.com/dp/B094FFGB2P?psc=1","https://m.media-amazon.com/images/I/61kRvmgLs4L._AC_SX466_.jpg","danpinera",49.99,742,37092.58,11751,"CN",20.59,1,4.4,607,8,23,"LongT HOME","Patio, Lawn & Garden","Small Oversize","FBA","17.8x2.3x20.6","8.15",2021-07-23
"WOODYNLUX End Table Nightstands Set of 2, 3-Tier Bedside Tables, 5-Tier Shelf Bookcase, Nightstand Accent Table for Couch, Living Room, Bedroom, Rustic Brown and Black, Easy Assembly.","B0BMLQPHDB","https://www.amazon.com/dp/B0BMLQPHDB?psc=1","https://m.media-amazon.com/images/I/714CWHXLh1L._AC_SX425_.jpg","WOODYNLUX",49.99,1300,64987,34616,"CN",19.63,1,4.7,233,7,24,"haoding home","Home & Kitchen","Large Standard-Size","FBA","12.8x4.3x17.0","18.40",2022-11-16
"HOMSHO 2-Tier Side Table, End Tables with Tempered Glass, Nightstands with Storage Shelves, Slim Sofa Table for Living Room, Bedroom (1, Golden)","B0BY1N8XM7","https://www.amazon.com/dp/B0BY1N8XM7?psc=1","https://m.media-amazon.com/images/I/717Qtrc5A7L._AC_SY355_.jpg","HOMSHO",35.99,NA,NA,69947,"CN",14.33,1,4,31,9,2,"HOMSHO","Home & Kitchen","Large Standard-Size","FBA","12.8x4.6x17.3","8.36",2023-03-10
"Décor Therapy, Walnut Decor Therapy Three drawer accent table, (FR1458), 11.8 in x 15.75 in x 26","B00BX5059W","https://www.amazon.com/dp/B00BX5059W?psc=1","https://m.media-amazon.com/images/I/81GZFE0QOIL._AC_SY450_.jpg","Decor Therapy",101.58,191,19401.78,197961,"AMZ",48.49,1,4.4,1921,7,2,"Amazon","Home & Kitchen","Small Oversize","AMZ","18.8x15.5x26.8","23.75",NA
"Yoobure C Shaped End Table, Side Table for Couch and Bed, Small Side Table for Small Spaces, Living Room, Bedroom, Rustic Snack Table","B0BTBWGJX7","https://www.amazon.com/dp/B0BTBWGJX7?psc=1","https://m.media-amazon.com/images/I/61zWU1QGtxL._AC_SY450_.jpg","Yoobure",30.99,1965,60895.35,17498,"CN",13.26,2,4.5,957,7,79,"Yoobure Direct","Home & Kitchen","Large Standard-Size","FBA","11.7x3.3x17.7","7.30",2023-03-28
"FURINNO Oval End Table, One, Walnut","B01FX5CM8O","https://www.amazon.com/dp/B01FX5CM8O?psc=1","https://m.media-amazon.com/images/I/61zo5IM6j9L._AC_SX466_.jpg","Furinno",15.46,238,3679.48,135476,"AMZ",16.25,6,4.2,1869,6,9,"Amazon","Home & Kitchen","Small Oversize","AMZ","17.8x2.5x24.3","10.60",2016-05-19
"AWASEN Side Table, Small End Accent Table for Living Room Bedroom Office Small Spaces, Modern White Side Table Nightstand with Solid Wood, Easy Assembly, (White)","B0BYMWHZJC","https://www.amazon.com/dp/B0BYMWHZJC?psc=1","https://m.media-amazon.com/images/I/51ihJ0cmhsL._AC_SX425_.jpg","AWASEN",25.99,NA,NA,103020,"CN",12.03,1,4.6,57,6,5,"Awasen Direct","Home & Kitchen","Large Standard-Size","FBA","13.7x2.8x17.0","5.89",2023-03-16
"Best Choice Products 16in Faux Marble Accent Table, Modern End Table, Small Coffee Table Home Decor for Living Room, Dining Room, Tea, Coffee w/Metal Frame, Foot Caps, Designer - White/Chrome","B08TRWHPPN","https://www.amazon.com/dp/B08TRWHPPN?psc=1","https://m.media-amazon.com/images/I/61+h-OlSnKL._AC_SX466_.jpg","Best Choice Products",49.99,611,30543.89,53861,"US",23.53,1,4.4,2896,8,26,"BestChoiceproducts","Home & Kitchen","Small Oversize","MFN","18.5x26.0x4.5","7.50",2021-01-22
"COZAYH Rustic Farmhouse end Table with Storage Shelf, French Country Accent Side Table for Family, Dinning or Living Room, Small Spaces, Modern, Round, Vintage Grey Finish.","B09BD7FDSQ","https://www.amazon.com/dp/B09BD7FDSQ?psc=1","https://m.media-amazon.com/images/I/91qWn9YkRlL._AC_SX569_.jpg","COZAYH",69.99,175,12248.25,77009,"US",26.95,1,4.4,409,9,10,"Cozayh","Home & Kitchen","Small Oversize","MFN","3.3x26.8x26.5","15.73",2021-07-28
"OVICAR Tray End Table - Metal Side Table 2 Tier Nightstand Round Accent Coffee Table Sofa Side Table Waterproof Indoor Outdoor Snack Table Removable Tray Table for Living Room Bedroom Office Black","B093RQHPQB","https://www.amazon.com/dp/B093RQHPQB?psc=1","https://m.media-amazon.com/images/I/71VUTJgRRTL._AC_SX466_.jpg","OVICAR",46.8,422,19749.6,62234,"CN",20.11,1,4.6,1352,7,21,"Ovicar","Home & Kitchen","Small Oversize","FBA","18.0x1.8x22.0","8.25",2021-04-29
"Furinno JAYA End Table, One, Walnut","B01K8JEF5I","https://www.amazon.com/dp/B01K8JEF5I?psc=1","https://m.media-amazon.com/images/I/61jcNzHRv5L._AC_SY450_.jpg","Furinno",17.1,392,6703.2,116816,"AMZ",15.66,12,3.7,3138,6,28,"Amazon","Home & Kitchen","Small Oversize","AMZ","20.9x1.9x21.8","8.35",2016-08-11
"APEXCHASER Metal Side Table, 3-Tier Modern Style End Table with Storage Shelf, Side Table for Small Spaces, Fashionable Coffee Table for Living Room, Bedroom,Pink","B0BX9QJTWK","https://www.amazon.com/dp/B0BX9QJTWK?psc=1","https://m.media-amazon.com/images/I/71SVCJ15KuL._AC_SX466_.jpg","APEXCHASER",39.99,363,14516.37,49681,"CN",15.41,1,4.2,23,6,14,"TR Trading Store","Home & Kitchen","Large Standard-Size","FBA","12.6x7.3x17.2","7.94",2023-03-02
"Christopher Knight Home Manuel Light-Weight Concrete Accent Table, Natural, 12.5D x 12.5W x 17.75H in","B07F6BJR9V","https://www.amazon.com/dp/B07F6BJR9V?psc=1","https://m.media-amazon.com/images/I/815I-uAZVxL._AC_SX425_.jpg","Christopher Knight Home",78.19,120,9382.8,171759,"AMZ",38.39,3,4.5,209,8,3,"Amazon","Home & Kitchen","Small Oversize","AMZ","16.2x15.7x21.0","22.50",2018-07-01
"Monarch Specialties , Hall Console, Accent Table, Dark Taupe, 47""L","B0143ZT6ZC","https://www.amazon.com/dp/B0143ZT6ZC?psc=1","https://m.media-amazon.com/images/I/613ZNFH9csL._AC_SX425_.jpg","Monarch Specialties",145.08,143,20746.44,406444,"AMZ",49.75,15,4.7,4934,5,4,"Amazon","Home & Kitchen","Small Oversize","FBA","16.4x7.1x53.0","36.61",NA
"Winsome Wood Nolan Occasional Table, Cappuccino 20.00 x 20.00 x 21.97 Inches","B0046EC0LS","https://www.amazon.com/dp/B0046EC0LS?psc=1","https://m.media-amazon.com/images/I/61VrFfZEXyL._AC_SY450_.jpg","Winsome",53.7,187,10041.9,83832,"AMZ",29.97,28,4.7,2001,8,4,"Amazon","Home & Kitchen","Small Oversize","AMZ","24.0x7.0x24.2","24.15",NA
"Best Choice Products Metal Accent Table, Set of 2 Decorative Round End Tables Nightstands, Coffee Side Tables for Living Room Bedroom Office, Nesting - Gold","B079LYB9Y5","https://www.amazon.com/dp/B079LYB9Y5?psc=1","https://m.media-amazon.com/images/I/812OTyjG+GL._AC_SX466_.jpg","Best Choice Products",99.99,274,27397.26,155726,"US",44.47,2,4.5,2002,7,12,"BestChoiceproducts","Home & Kitchen","Small Oversize","MFN","17.3x17.3x22.0","16.65",2017-11-18
"HILINSIE Rattan Nightstand - Accent End Table with Storage Shelf and Drawer, Wooden Bedside Tables with Metal Frame, Modern Side Table for Bedroom, Living Room, Natural Walnut and Yellow","B0BWN6Y3YT","https://www.amazon.com/dp/B0BWN6Y3YT?psc=1","https://m.media-amazon.com/images/I/81pxzOvaHkL._AC_SX466_.jpg","HILINSIE",49.99,NA,NA,231812,"CN",19.95,1,1,1,8,0,"Hilinsie","Home & Kitchen","Large Standard-Size","FBA","13.5x6.2x16.9","18.01",2023-02-23
"Decor Therapy Simplify Round Pedestal Accent Side Table, 24"" x 15"" x 15"", Turquoise","B00JSRCJM8","https://www.amazon.com/dp/B00JSRCJM8?psc=1","https://m.media-amazon.com/images/I/414sXSbdMVL._AC_SY741_.jpg","Decor Therapy",54.62,573,31297.26,39009,"AMZ",22.54,3,4.6,6430,3,16,"Amazon","Home & Kitchen","Small Oversize","AMZ","17.5x4.9x18.6","7.10",2014-10-03
"Winsome Wood Sasha Accent Table, White, 20 inches","B004K3D3ZC","https://www.amazon.com/dp/B004K3D3ZC?psc=1","https://m.media-amazon.com/images/I/61Zm-UGJsbL._AC_SX679_.jpg","Winsome",59.63,144,8586.72,139192,"AMZ",30.01,21,4.6,1672,8,7,"Amazon","Home & Kitchen","Small Oversize","FBA","23.3x6.0x27.2","16.40",2005-07-26
"E.P.C. Versatile 3 Tier Wooden White Twisted Design Accent Table","B089KRVXVG","https://www.amazon.com/dp/B089KRVXVG?psc=1","https://m.media-amazon.com/images/I/51UgWrbAbiS._AC_SX679_.jpg","E.P.C.",37.49,25,937.25,433506,"US",17.87,5,4.2,75,7,0,"Closeout Pro","Home & Kitchen","Small Oversize","FBA","12.5x2.5x26.8","6.10",2020-06-02
"Hula Home End Table with Charging Station (USB-C, USB, & Outlet) Flip Top | for Living Room and Narrow Small Spaces, Storage Shelf, USB Ports & Power Outlets, Bedside Tables, Bedroom (Brown)","B09RWBBW47","https://www.amazon.com/dp/B09RWBBW47?psc=1","https://m.media-amazon.com/images/I/81fEBPrEwSL._AC_SY355_.jpg","Hula Home",65.99,225,14847.75,152907,"US",21.07,1,4.4,256,7,8,"Hula Home","Home & Kitchen","Large Standard-Size","FBA","13.5x6.9x16.9","15.08",2022-02-06
"Etna Twist Side End Table Modern Accent Table Nightstand with Distressed Finish, Wood, 24"" High - Gray","B0949SV9XV","https://www.amazon.com/dp/B0949SV9XV?psc=1","https://m.media-amazon.com/images/I/51M45CakhFL._AC_SY450_.jpg","Etna",37.92,85,3223.2,248588,"US",19.35,9,4.1,204,8,6,"Busiapp Corporation","Home & Kitchen","Small Oversize","FBA","12.8x2.7x28.9","6.15",2021-05-06
"MENYCNJ C Shaped Table for safa Small C Side Table for Living Room and Small Spaces- Easy Assembly, C Shaped Round End Table for Couch and Bed, Night Stand for Bedroom, Wood/Black","B0BZZTL5RS","https://www.amazon.com/dp/B0BZZTL5RS?psc=1","https://m.media-amazon.com/images/I/51OodfZCsnL._AC_SY355_.jpg","MENYCNJ",55.99,NA,NA,55612,"CN",22.9,1,2,4,6,2,"HengTuo Int'l Trade","Home & Kitchen","Small Oversize","FBA","13.4x4.0x24.5","5.25",2023-03-30
