"product_details","asin","url","image_url","brand","price","sales","revenue","bsr","seller_country_region","fees","active_sellers_number","ratings","review_count","images","review_velocity","buy_box","category","size_tier","fulfillment","dimensions","weight","creation_date"
"AILEEKISS Nightstand with Wireless Charging Function Wooden Night Stands with 2 Drawers and Open Shelf Storage Cabinet End Table Home Bedside Table for Bedroom (White)","B099WW8WKG","https://www.amazon.com/dp/B099WW8WKG?psc=1","https://m.media-amazon.com/images/I/516jTqpWy-L._AC_SX569_.jpg","AILEEKISS",97.99,327,32042.73,66277,"CN",42.64,1,4.5,293,7,22,"ICE ONLINE STORE","Home & Kitchen","Small Oversize","MFN","19.3x26.8x7.1","41.80",2021-07-19
"Filano Floating Nightstand Geometric Wall Shelves for Bedroom Rustic Wood Bedside Shelf Wall Mounted Nightstand Small Nightstand Floating Bedside Table Carbonized Black","B0BQ6XMDRL","https://www.amazon.com/dp/B0BQ6XMDRL?psc=1","https://m.media-amazon.com/images/I/715fsPq7QCL._AC_SX569_.jpg","Filano",23.99,281,6741.19,74036,"CN",9.69,1,4.3,100,9,65,"Filano Direct","Home & Kitchen","Large Standard-Size","FBA","8.2x1.9x14.4","2.34",NA
"AEPOALUA Masupu Nightstand, 2 Drawer Dresser for Bedroom, Small Side Table with 2 Drawers, Bedside Furniture, Night Stand, End Table with Gold Frame for Bedroom,Living Room,White","B0BTLS8NF3","https://www.amazon.com/dp/B0BTLS8NF3?psc=1","https://m.media-amazon.com/images/I/71l-Z2uUEBL._AC_SX425_.jpg","AEPOALUA",69.99,60,4199.4,1021439,"CN",NA,1,4.8,6,9,2,"AEPOALUA","Home & Kitchen","Large Standard-Size","FBA","13.5x7.0x17.5","22.00",2023-02-01
"Sorbus Nightstand Dresser with 2 Faux Wood Drawers - Bedside Table Chest with Storage - Bedroom, Living Room, Closet & Dorm Furniture-Lamp Stand - Steel Frame, Wood Top, Easy Pull Fabric Bins","B0B3NCNM32","https://www.amazon.com/dp/B0B3NCNM32?psc=1","https://m.media-amazon.com/images/I/711Hfu0tpWL._AC_SY741_.jpg","Sorbus",54.99,111,6103.89,350454,"US",24.28,2,4.2,97,7,8,"SELL BELOW COST","Home & Kitchen","Small Oversize","FBA","12.0x4.0x34.0","15.85",2022-06-09
"Nightstand with Charging Station and USB Ports, 3 Tier Small Bedside Table with Drawer and Storage Shelf Rustic Night Stand for Small Space, Living Room, Bedroom, Black","B0B821DLLQ","https://www.amazon.com/dp/B0B821DLLQ?psc=1","https://m.media-amazon.com/images/I/71huvZ7umfL._AC_SY450_.jpg","BTY",52.99,505,26759.95,63802,"CN",20.07,2,4.3,117,7,16,"BTY HOME","Home & Kitchen","Large Standard-Size","FBA","13.0x6.0x17.0","18.32",2022-07-29
"Reettic Nightstand with Charging Station and USB Ports & Power Outlets, Wooden End Table with Drawer and Opening Shelf, Side Table for Bedroom, Black RCTG101BE","B09C5VBK2X","https://www.amazon.com/dp/B09C5VBK2X?psc=1","https://m.media-amazon.com/images/I/61FNNGtVjoL._AC_SY355_.jpg","Reettic",69.99,841,58861.59,33216,"CN",30.31,1,4.3,562,6,34,"airbuyhome","Home & Kitchen","Small Oversize","FBA","18.4x4.7x27.9","24.90",2021-11-22
"White Nightstand with Wireless Charging Station and LED Lights, Modern End Side Table with 3 Drawers, Wooden Cabinet Stand by Sofa, Bedside Tables for Bedroom with USB Ports Outlet & Open Storage","B0BRQBT718","https://www.amazon.com/dp/B0BRQBT718?psc=1","https://m.media-amazon.com/images/I/71maGW6m7QL._AC_SX569_.jpg","HOSEOKA",91.99,458,42131.42,105585,"CN",36.97,1,4.4,85,8,41,"Fameill","Home & Kitchen","Small Oversize","FBA","16.2x5.8x27.6","32.06",2023-01-05
"ADORNEVE Nightstands Set of 2,Grey Nightstand with Charging Station & Drawers,Night Stands for Bedrooms Set of 2","B0B8Z6BL9D","https://www.amazon.com/dp/B0B8Z6BL9D?psc=1","https://m.media-amazon.com/images/I/711zlGhsmgL._AC_SX466_.jpg","ADORNEVE",129.99,729,94762.71,56252,"CN",48.55,1,4.3,386,7,27,"TFUS Household Direct","Home & Kitchen","Small Oversize","MFN","16.7x28.4x8.3","46.52",2022-08-08
"BUYT Portable End Table Mobile Folding Table Overbed Table with Castors for Bedroom, Living Room, Sofa Multifunctional and Practical Wheels Side Table (Color : Blue)","B08MBQTM9R","https://www.amazon.com/dp/B08MBQTM9R?psc=1","https://m.media-amazon.com/images/I/51U7hMnAGJL._AC_SX679_.jpg","BUYT",669.75,NA,NA,NA,"CN",NA,1,NA,0,NA,0,"junboyaojianshe","Home & Kitchen",NA,"MFN",NA,NA,2020-10-31
"HOOBRO Nightstand with Charging Station and USB Ports, 3-Tier End Table with Adjustable Shelves, Side Table for Small Space Living Room, Bedroom and Balcony, Modern Style, Gold and White DW112BZ01G1","B0BTBVGMN4","https://www.amazon.com/dp/B0BTBVGMN4?psc=1","https://m.media-amazon.com/images/I/61AdcQTm82L._AC_SX679_.jpg","HOOBRO",45.99,NA,NA,9518,"CN",16.3,1,4.4,365,9,59,"Hoobro","Home & Kitchen","Large Standard-Size","FBA","12.4x4.0x17.1","9.97",2023-01-30
"ALLOSWELL End Table, Side Table with Storage Shelf, Nightstand for Small Spaces, Bedside Table, for Living Room, Bedroom, Easy Assembly, Rustic Brown ETHR5001","B09G2G448L","https://www.amazon.com/dp/B09G2G448L?psc=1","https://m.media-amazon.com/images/I/61PiWODKD+L._AC_SY450_.jpg","ALLOSWELL",21.99,580,12754.2,36851,"CN",12.07,1,4.3,450,9,13,"ALLOSWELL","Home & Kitchen","Large Standard-Size","FBA","12.9x3.4x17.2","7.76",2022-01-06
"AOJEZOR End Table,Accent Table Ideal for Any Room-Side Table Living Room,Side Tables Bedroom,Side Table Waterproof Metal Structure Great for Indoor & Outdoor,Matte Black Tray Surface with 3 Legs","B09X9GMLZG","https://www.amazon.com/dp/B09X9GMLZG?psc=1","https://m.media-amazon.com/images/I/717q7wg1ZhL._AC_SY355_.jpg","AOJEZOR",37.88,3868,146519.84,4644,"CN",19.3,4,4.6,3277,8,50,"Aojezor","Home & Kitchen","Small Oversize","FBA","18.4x2.8x23.5","6.55",2022-03-14
"CubiCubi C Shaped End Table, Side Table for Couch and Bed, Rustic Table Living Room Bedroom, Small Table with Metal Frames, Modern Design, White","B092HJRLC3","https://www.amazon.com/dp/B092HJRLC3?psc=1","https://m.media-amazon.com/images/I/615lMcPEj+L._AC_SX425_.jpg","CubiCubi",33.99,608,20665.92,39577,"CN",13.87,14,4.5,880,8,25,"EleTab","Home & Kitchen","Large Standard-Size","FBA","13.2x2.8x17.7","7.87",2021-04-14
"LUCKNOCK Nightstand, Mid-Century Modern Bedside Tables with Storage Shelf, Minimalist and Practical End Side Table, Fashion Bedroom Furnitur,Rustic Brown.","B0BK8F8KWQ","https://www.amazon.com/dp/B0BK8F8KWQ?psc=1","https://m.media-amazon.com/images/I/71tqW809hDL._AC_SX466_.jpg","LUCKNOCK",39.99,1013,40509.87,29623,"CN",18.16,1,4.6,314,6,35,"LUCKNOCK","Home & Kitchen","Large Standard-Size","FBA","13.2x5.5x16.9","15.32",2022-10-24
"danpinera 2 Tier Metal Side Table with Removable Tray, Folding End Table Outdoor Side Table Small Accent Table, Anti-Rust Green Nightstand for Bedroom Balcony Patio (Dark Green)","B09GKGWZP3","https://www.amazon.com/dp/B09GKGWZP3?psc=1","https://m.media-amazon.com/images/I/614WQjNZIaL._AC_SY355_.jpg","danpinera",49.99,734,36692.66,11751,"CN",20.59,1,4.4,607,8,23,"LongT HOME","Patio, Lawn & Garden","Small Oversize","FBA","18.0x3.3x21.3","8.10",2021-05-09
"WLIVE End Table, 2-Tier Small Side Table with Open Storage, Narrow Side Stand for Bedroom, Living Room, Couch, Modern End Stand with Sturdy Metal Frame, Sturdy Easy Assembly,Rustic Brown and Black","B0BCKF7NXF","https://www.amazon.com/dp/B0BCKF7NXF?psc=1","https://m.media-amazon.com/images/I/71M22fouH1L._AC_SX569_.jpg","WLIVE",25.99,1803,46859.97,21696,"CN",12.83,1,4.4,114,8,19,"SYL-HOME","Home & Kitchen","Large Standard-Size","FBA","13.1x2.7x17.1","8.30",2022-08-31
"VASAGLE Round End Table with Lower Shelf, Nightstand for Small Spaces, Modern Farmhouse Style, 15.8”Dia. x 19.7”H (40 x 50 cm), Rustic Walnut","B0B18NB7ZF","https://www.amazon.com/dp/B0B18NB7ZF?psc=1","https://m.media-amazon.com/images/I/71CMKkWecRL._AC_SX425_.jpg","VASAGLE",39.99,293,11717.07,54985,"AMZ",19.93,3,4.5,94,8,15,"Amazon","Home & Kitchen","Small Oversize","AMZ","17.6x3.4x22.4","10.90",NA
"AWASEN Side Table Round, Small Accent Table Nightstand Modern End Table for Living Room Bedroom Office Small Spaces, 16''D x 19.5''H(Natural Walnut)","B09FJ9KWXF","https://www.amazon.com/dp/B09FJ9KWXF?psc=1","https://m.media-amazon.com/images/I/51JB3dKZ2BL._AC_SY450_.jpg","AWASEN",38.99,1266,49361.34,21397,"CN",18.1,1,4.6,907,7,64,"Awasen Direct","Home & Kitchen","Small Oversize","FBA","17.5x3.0x18.0","5.93",2021-09-06
"Tribesigns Wood End Table, 2-Drawer Narrow Solid Side Table Slim Chair Side Table, No Assembly Required, Finished Back, Walnut","B0BNVDY12F","https://www.amazon.com/dp/B0BNVDY12F?psc=1","https://m.media-amazon.com/images/I/71bxNFV1zzL._AC_SX569_.jpg","Tribesigns",239.99,64,15359.36,511035,"CN",55.91,1,5,5,6,1,"XDYZ US","Home & Kitchen","Small Oversize","MFN","32.0x15.0x7.1","30.00",2022-12-02
"Monarch Specialties , Nesting Table, Chrome Metal, Glossy White, Table Set, 2 pcs","B008V6R8UA","https://www.amazon.com/dp/B008V6R8UA?psc=1","https://m.media-amazon.com/images/I/41f54v0o8YL._AC_SY450_.jpg","Monarch Specialties",164.71,20,3294.2,624014,"AMZ",46.62,11,4.7,734,4,0,"Amazon","Home & Kitchen","Small Oversize","AMZ","22.0x7.0x23.5","30.01",2012-08-08
"Grey Nightstand with Charging Station Bedroom End Tables with USB Ports and Outlets 3 Tier Bed Side Table with Storage Shelves Farmhouse Night Stand Table with Power Charging for Living Room Study","B0BFJC3NCJ","https://www.amazon.com/dp/B0BFJC3NCJ?psc=1","https://m.media-amazon.com/images/I/61e5KuACP7L._AC_SY450_.jpg","NORCEESAN",39.99,637,25473.63,37696,"CN",15.89,1,4.5,171,7,42,"NORCEESAN DIRECT","Home & Kitchen","Large Standard-Size","MFN","13.7x6.2x17.6","11.33",2022-09-16
"HOOBRO Nightstands Set of 2, 3-Tier Side Table with Adjustable Shelf, Industrial End Table for Small Space in Living Room, Bedroom and Balcony, Stable Metal Frame, Rustic Brown BF12BZ01","B097R1TXD1","https://www.amazon.com/dp/B097R1TXD1?psc=1","https://m.media-amazon.com/images/I/71qfcWSFpKL._AC_SX425_.jpg","HOOBRO",49.99,389,19446.11,134392,"CN",17.94,3,4.5,671,10,115,"Hoobro","Home & Kitchen","Large Standard-Size","FBA","12.2x6.3x16.1","16.58",2021-06-23
"C Shaped Side Table, C Shaped End Table for Sofa Couch and Bed, Portable Laptop Table, Coffee Snack Table, Sofa Side Table, Wood Look Accent Table, Space Saving in Living Room, Black","B0BLSDH26S","https://www.amazon.com/dp/B0BLSDH26S?psc=1","https://m.media-amazon.com/images/I/61akHBRPuxL._AC_SX679_.jpg","Tuenort",29.99,66,1979.34,221169,"CN",12.79,1,4,3,8,-50,"Tuenort Direct","Home & Kitchen","Large Standard-Size","FBA","13.3x4.0x16.6","6.50",2022-11-08
"Apicizon Round Side Table, White Tray Nightstand Coffee End Table for Living Room, Bedroom, Small Spaces, Easy Assembly Bedside Table, 15 x 18 Inches","B08PD1LNFV","https://www.amazon.com/dp/B08PD1LNFV?psc=1","https://m.media-amazon.com/images/I/81U6IM+GAnL._AC_SX425_.jpg","Apicizon",33.99,806,27395.94,32741,"CN",16.93,1,4.5,1041,8,21,"APICIZON","Home & Kitchen","Small Oversize","FBA","15.5x3.0x15.5","3.95",2021-02-26
"MAHANCRIS End Table, 2-Tier Beside Table with Mesh Shelf, Sofa Side Table with Tempered Glass Top, TV Tray Table for Small Space, Snack Side Table, Nightstand for Bedroom, Living Room, Gold ETJ24B01","B0BQBP6LHT","https://www.amazon.com/dp/B0BQBP6LHT?psc=1","https://m.media-amazon.com/images/I/71FFZIIg0mL._AC_SX569_.jpg","MAHANCRIS",36.99,136,5030.64,92763,"CN",14,1,4.5,9,9,4,"ALLOSWELL","Home & Kitchen","Large Standard-Size","FBA","13.1x3.7x17.2","6.92",2023-03-27
"VECELO Tall End Side Tables,30"" Height Nightstand with 3-Tier Storage Shelf for Bedroom Living Room, Easy Assembly,Industrial Style, 1-Pack, Retro Brown","B0978XC2KD","https://www.amazon.com/dp/B0978XC2KD?psc=1","https://m.media-amazon.com/images/I/51txVzvbC5L._AC_SX425_.jpg","VECELO",54.58,451,24615.58,63193,"AMZ",25.48,2,4.7,177,10,11,"Amazon","Home & Kitchen","Small Oversize","AMZ","15.0x32.3x4.7","18.26",2021-04-22
"Pipishell Bamboo Stackable End Tables, Wood Living Room Nightstand, Bedside Tables for Bedroom Storage, Set of 2","B07WG51N84","https://www.amazon.com/dp/B07WG51N84?psc=1","https://m.media-amazon.com/images/I/6112nVKkcPL._AC_SY355_.jpg","Pipishell",52.76,759,40044.84,32332,"CN",20.39,6,4.2,2168,8,34,"Lifecare Supplies","Home & Kitchen","Large Standard-Size","FBA","12.7x6.0x17.8","16.23",2019-08-16
"MaxSmeo Nightstand, Mid Century Modern Side Table Bedroom with Storage, Small End Bedside Table with Solid Wood Legs for Living Room, Office Small Spaces (Brown)","B0BPY3Y8HV","https://www.amazon.com/dp/B0BPY3Y8HV?psc=1","https://m.media-amazon.com/images/I/61PfD1fUVKL._AC_SY450_.jpg","MaxSmeo",39.99,NA,NA,83768,"CN",15.57,1,4.5,79,7,57,"Sme Direct","Home & Kitchen","Large Standard-Size","FBA","13.9x4.3x17.2","10.25",2022-12-13
"Bamworld Rattan Side Table, Boho Night Stand Glass Small End Tables Bamboo Bedroom Coffee Table with Storage for Living Room and Outdoor","B0B81QCN5V","https://www.amazon.com/dp/B0B81QCN5V?psc=1","https://m.media-amazon.com/images/I/81+k2oyqM0L._AC_SY450_.jpg","Bamworld",69.99,626,43813.74,39268,"CN",25.27,3,4.6,98,6,6,"meeeu shop","Home & Kitchen","Small Oversize","FBA","16.8x4.2x25.2","12.70",2022-07-29
"danpinera Round Side Table with Fabric Storage Basket, Metal Side Table Small Bedside Table Nightstand with Removable Tray Top for Living Room, Bedroom, Nursery, Laundry, Gray","B09RDSXFVF","https://www.amazon.com/dp/B09RDSXFVF?psc=1","https://m.media-amazon.com/images/I/71nSQ-bYp9L._AC_SX569_.jpg","danpinera",40.99,1376,56402.24,61214,"CN",20.23,1,4.4,837,6,31,"Huding Tech","Home & Kitchen","Small Oversize","FBA","19.0x2.0x21.5","8.70",2022-05-21
"Decor Therapy Simplify End Table with Shelf, Espresso","B00JSRCKYK","https://www.amazon.com/dp/B00JSRCKYK?psc=1","https://m.media-amazon.com/images/I/81sedRe+t9S._AC_SX466_.jpg","Decor Therapy",75.1,462,34696.2,83080,"AMZ",31.08,1,4.7,2898,7,6,"Amazon","Home & Kitchen","Small Oversize","AMZ","19.0x8.0x22.0","17.15",2014-04-19
"WLIVE Side Table, C Shaped End Table for Couch, Sofa and Bed, Large Desktop C Table for Living Room, Bedroom, Black","B07D6N8T6Y","https://www.amazon.com/dp/B07D6N8T6Y?psc=1","https://m.media-amazon.com/images/I/61EprA9D3tL._AC_SX425_.jpg","WLIVE",31.99,4142,132502.58,6272,"CN",18.73,1,4.6,11354,9,103,"WLIVE","Home & Kitchen","Small Oversize","FBA","12.8x4.0x24.2","10.50",2018-05-21
"FANTERSI Small Round Side Table, 2-Tier Mid Century Modern Side Table, Wood Side Table, Round End Table for Living Room, Metal Frames, Brown","B0BWYTNKMR","https://www.amazon.com/dp/B0BWYTNKMR?psc=1","https://m.media-amazon.com/images/I/71F+T53Ph5L._AC_SX466_.jpg","FANTERSI",79.99,NA,NA,144737,"CN",27.61,1,NA,0,9,0,"FANTERSI","Home & Kitchen","Small Oversize","FBA","17.9x6.0x19.1","9.68",2023-03-04
"AMHANCIBLE C Shaped End Table Set of 2, Side Tables for Sofa, Couch Table Snack Side Table for Living Room Bedroom, Metal Frame, Acent, Rustic Brown HET02CBR","B09FXZTLX2","https://www.amazon.com/dp/B09FXZTLX2?psc=1","https://m.media-amazon.com/images/I/61dcs4Q+m0L._AC_SY355_.jpg","AMHANCIBLE",55.99,1459,81689.41,11501,"CN",19.09,6,4.5,752,7,33,"Amhancible","Home & Kitchen","Large Standard-Size","FBA","12.9x6.5x16.7","13.93",2021-12-06
"IBUYKE Side Table, 3-Tier End Table, Industrial Nightstand Small Table with Storage Shelf, for Bedroom, Living Room, Hallway, Black UTMJ402B","B09VMYQGCY","https://www.amazon.com/dp/B09VMYQGCY?psc=1","https://m.media-amazon.com/images/I/61ngI-U0bdL._AC_SX522_.jpg","IBUYKE",29.99,462,13855.38,73855,"CN",13.91,1,4.6,267,9,19,"IBUYKE-US","Home & Kitchen","Large Standard-Size","FBA","12.9x4.6x17.2","9.96",2022-03-16
