"","product_details","asin","url","image_url","brand","price","sales","revenue","bsr","seller_country_region","fees","active_sellers_number","ratings","review_count","images","review_velocity","buy_box","category","size_tier","fulfillment","dimensions","weight","creation_date"
"13","Convenience Concepts Oxford Console Table with Shelf, Espresso","B01CZUU8LI","https://www.amazon.com/dp/B01CZUU8LI?psc=1","https://m.media-amazon.com/images/I/71MAqF4hauL._AC_SX466_.jpg","Convenience Concepts",46.98,716,33637.68,19886,"AMZ",29.38,13,4.6,8373,8,-740,"Amazon","Home & Kitchen","Small Oversize","AMZ","15.3x6.5x42.1","29.71",2016-03-15
"14","HOMERECOMMEND Console Sofa Tables End Table Computer Desk Coffee Snack Console Tables for Living Room Or Corridor Hallway Rustic Brown Color Wood","B088MDXBQR","https://www.amazon.com/dp/B088MDXBQR?psc=1","https://m.media-amazon.com/images/I/71s-09mtZDL._AC_SY450_.jpg","HOMERECOMMEND",51.99,397,20640.03,86399,"CN",24.4,4,4.4,3430,6,16,"HOMERECOMMEND Manufacturer Direct","Home & Kitchen","Small Oversize","FBA","13.1x3.0x42.8","14.80",2020-05-14
"15","ChooChoo Narrow Console Table, Chic Accent Sofa Table, Entryway Table, White","B07SYY7FVN","https://www.amazon.com/dp/B07SYY7FVN?psc=1","https://m.media-amazon.com/images/I/71zjPQttTML._AC_SY450_.jpg","ChooChoo",79.99,1017,81349.83,33628,"CN",32.65,3,4.5,3046,5,44,"ChooChoo Furniture","Home & Kitchen","Small Oversize","FBA","15.6x5.0x44.0","26.40",2019-09-10
"16","ELYKEN 5.9"" Narrow Console Sofa Table with Power Outlets, 5.9"" Dx63 Wx31.5 H Long Skinny Behind Couch Table with “X” Cross Metal Frame and Charge Station with 6.5’ Extension Cord, Black","B0BX8LCFC6","https://www.amazon.com/dp/B0BX8LCFC6?psc=1","https://m.media-amazon.com/images/I/615WefnL5qL._AC_SX466_.jpg","ELYKEN",63.99,300,19197,62507,"CN",26.89,1,4.5,67,7,9,"Elyken","Home & Kitchen","Small Oversize","FBA","8.0x5.0x35.6","18.40",2022-11-23
"17","Yoobure Sofa Table 70.9 Inch Narrow Console Table with 2 Outlet and 2 USB Ports Extra Long Entryway Table with X-Shaped Design Entry Behind Couch Table for Hallway Living Room Foyer","B0BTSJJYTZ","https://www.amazon.com/dp/B0BTSJJYTZ?psc=1","https://m.media-amazon.com/images/I/61YSnZ90-HL._AC_SY450_.jpg","Yoobure",69.99,195,13648.05,130921,"CN",22.48,1,4.4,57,7,34,"Fancee Home","Home & Kitchen","Small Oversize","FBA","14.2x6.2x38.4","28.40",2023-04-03
"18","Sauder North Avenue Sofa Table, Charter Oak finish, L: 41.50"" x W: 11.50"" x H: 28.03""","B01GS8J9V8","https://www.amazon.com/dp/B01GS8J9V8?psc=1","https://m.media-amazon.com/images/I/61fIBFUax1L._AC_SX466_.jpg","Sauder",57.99,324,18788.76,93350,"AMZ",24.73,7,4.7,7159,8,17,"Amazon","Home & Kitchen","Small Oversize","AMZ","13.9x3.6x44.6","15.25",NA
"19","Winsome Wood Rochester Occasional Table, Antique Walnut","B0046EC1CG","https://www.amazon.com/dp/B0046EC1CG?psc=1","https://m.media-amazon.com/images/I/61pJS0GAKaL._AC_SX679_.jpg","Winsome",88.93,133,11827.69,212073,"AMZ",39.86,29,4.7,3105,8,2,"Amazon","Home & Kitchen","Small Oversize","FBA","19.8x6.0x47.5","34.51",2004-04-15
"20","SUPERJARE Console Table with Outlet, 63 Inch Sofa Table with Charging Station, Narrow Entryway Table, Skinny Hallway Table, Behind Couch Table Skinny for Entryway, Living Room, Plants - Vintage Brown","B0B5TKL62Q","https://www.amazon.com/dp/B0B5TKL62Q?psc=1","https://m.media-amazon.com/images/I/61uF-2PXdAL._AC_SX425_.jpg","SUPERJARE",69.99,1712,119822.88,14457,"US",26.95,3,4.5,237,8,-6,"Superjare Direct","Home & Kitchen","Small Oversize","FBA","10.8x4.5x35.3","16.75",2022-07-05
"21","ChooChoo Console Table with Drawers, Narrow Wood Accent Sofa Table Entryway Table with Storage Shelf for Entryway, Front Hall, Hallway, Living Room, Black","B09SPQDQ1X","https://www.amazon.com/dp/B09SPQDQ1X?psc=1","https://m.media-amazon.com/images/I/81SWssP+fOL._AC_SX425_.jpg","ChooChoo",99.99,733,73292.67,51383,"CN",41.53,3,4.4,1923,6,34,"ChooChoo Furniture","Home & Kitchen","Small Oversize","FBA","14.5x7.5x43.5","40.91",2022-02-17
"22","Furologee Console Table, Dresser TV Stand for Bedroom, Tall Entertainment Center with Shelves, Sofa Table with 5 Fabric Drawers Closet Storage Organizer for Living Room/Entryway/Hallway, Rustic Brown","B097DK6835","https://www.amazon.com/dp/B097DK6835?psc=1","https://m.media-amazon.com/images/I/81GgSN7aL0L._AC_SX466_.jpg","Furologee",89.99,1178,106008.22,27393,"CN",35.83,1,4.5,1125,9,54,"Engriy Store","Home & Kitchen","Small Oversize","FBA","12.8x5.0x41.5","30.40",2021-06-17
"23","Narrow Console Table with Power Strips, Sofa Table with Storage Shelves for Living Room, 2-Tier Foyer Table for Entryway, Hallway, Behind Couch, Kitchen Counter, 39'', Grey Oak & Black","B0BLMH9QLY","https://www.amazon.com/dp/B0BLMH9QLY?psc=1","https://m.media-amazon.com/images/I/71+A8e2ptyL._AC_SX466_.jpg","armocity",66.99,535,35839.65,60713,"CN",22.66,2,4.5,76,9,17,"Armocity","Home & Kitchen","Large Standard-Size","FBA","13.7x6.7x16.4","19.95",2022-12-23
"24","SUPERJARE 70 Inch Console Table with 2 Outlet and 2 USB Ports, Extra Long Entryway Table with Metal Frame and X-Shaped Design, Narrow Sofa Table for Living Room and Hallway - Vintage Brown","B09JYTCH12","https://www.amazon.com/dp/B09JYTCH12?psc=1","https://m.media-amazon.com/images/I/61NXe5uArML._AC_SX679_.jpg","SUPERJARE",84.99,1547,131479.53,18130,"US",36.07,5,4.7,1068,9,69,"Superjare Direct","Home & Kitchen","Small Oversize","FBA","14.0x5.5x38.5","30.36",2021-10-21
"25","ALLOSWELL 63"" Console Table, Narrow Sofa Table, Entryway Table, Industrial Sofa Table, Side Table, for Hallway, Living Room, Bedroom, Sturdy and Stable, Easy to Assemble, Rustic Brown CTHR16001","B09G2QJ12V","https://www.amazon.com/dp/B09G2QJ12V?psc=1","https://m.media-amazon.com/images/I/6196jBU9opL._AC_SX569_.jpg","ALLOSWELL",49.99,378,18896.22,90339,"CN",24.79,2,4.6,622,10,39,"ALLOSWELL","Home & Kitchen","Small Oversize","FBA","10.0x4.4x35.5","19.00",2021-12-02
"26","Yaheetech Industrial Console Table with Drawer, Sofa Table Narrow Console Table for Entryway/Living Room, Entry Hallway Table with 2 Tier Open Storage, Rustic Brown","B08TWYTT97","https://www.amazon.com/dp/B08TWYTT97?psc=1","https://m.media-amazon.com/images/I/81R4E09BALL._AC_SY355_.jpg","Yaheetech",87.99,1004,88341.96,34244,"US",42.25,1,4.6,2541,9,70,"Yaheetech","Home & Kitchen","Small Oversize","MFN","14.8x5.9x43.7","46.22",2021-01-26
"27","Masupu 70.9 Inch Console Table with Power Outlet,Modern Narrow Long Sofa Table Behind Couch,Skinny Entry Table with Gold Metal Frame for Entryway,Living Room, Hallway,Rustic Brown","B0BP7MTXHF","https://www.amazon.com/dp/B0BP7MTXHF?psc=1","https://m.media-amazon.com/images/I/71VLzg3r8OL._AC_SY450_.jpg","Masupu",79.99,144,11518.56,194908,"CN",29.71,1,4.5,15,9,4,"Masupu","Home & Kitchen","Small Oversize","FBA","9.9x4.3x38.7","19.35",2022-12-06
"28","BON AUGURE Rustic Sofa Table Behind Couch, Industrial Console Tables for Entryway, 3 Tier Wood Shelves Entry Table with Storage for Foyer, Hallway, Front Door (47 Inch, Dark Grey Oak)","B0BBQQLNX2","https://www.amazon.com/dp/B0BBQQLNX2?psc=1","https://m.media-amazon.com/images/I/71aFWNjSYOL._AC_SX679_.jpg","BON AUGURE",149.98,434,65091.32,69475,"CN",51.55,1,4.8,1348,7,22,"BON AUGURE","Home & Kitchen","Small Oversize","FBA","15.5x6.0x51.0","45.86",2023-02-27
"29","15x9.8 Inch Couch Arm Table - Strong Rubber Wood Foldable Sofa Tray Table Clip on Side Table for Wide Couch Arm with 360° Rotating Phone Holder, Armrest Table for Eat/Drink/Snack/Remote Control","B0BRX96BV3","https://www.amazon.com/dp/B0BRX96BV3?psc=1","https://m.media-amazon.com/images/I/71iousw0e+L._AC_SX466_.jpg","BELO VALE",34.99,64,2239.36,71741,"CN",12.9,1,4.7,57,6,2,"BELO VALE","Home & Kitchen","Large Standard-Size","FBA","10.5x3.5x16.1","3.97",2023-01-09
"30","ChooChoo Farmhouse Console Table, Rustic Vintage Narrow Sofa Table for Entryway, Living Room, Hallway, 40 White","B08NDK254L","https://www.amazon.com/dp/B08NDK254L?psc=1","https://m.media-amazon.com/images/I/91NRYswYhKS._AC_SX425_.jpg","ChooChoo",109.99,490,53895.1,69024,"CN",37.57,1,4.7,268,7,17,"ChooChoo Furniture","Home & Kitchen","Small Oversize","FBA","14.6x6.1x43.0","27.30",2020-11-13
"31","MAHANCRIS Sofa Table with Power Outlet, 43.7"" Console Table with USB Ports, Behind Couch Table, Entryway Table for Living Room, Entryway, Foyer, Metal Frame, Adjustable Feet, Rustic Brown CTHR11E01Z1","B0BTSM2KW9","https://www.amazon.com/dp/B0BTSM2KW9?psc=1","https://m.media-amazon.com/images/I/71zLifWVWUL._AC_SY450_.jpg","MAHANCRIS",49.99,204,10197.96,97238,"CN",18.98,1,4.6,3,9,0,"ALLOSWELL","Home & Kitchen","Large Standard-Size","FBA","13.2x6.0x17.2","16.45",2023-04-27
"32","Rolanstar Console Table, Narrow Sofa Table with 2 Mesh Shelves, 47.2” Long Rustic Entryway Table with Retro Metal Frame, Entrance Table for Entryway, Hallway, Living Room, Bedroom","B08ZSH32R8","https://www.amazon.com/dp/B08ZSH32R8?psc=1","https://m.media-amazon.com/images/I/81ygZOUcfTL._AC_SX679_.jpg","Rolanstar",54.99,246,13527.54,79504,"CN",27.64,1,4.8,2481,9,28,"RolanstarDirect","Home & Kitchen","Small Oversize","FBA","11.7x4.0x50.3","23.85",2021-03-23
"33","MAHANCRIS Console Table, 2-Tier Entrance Table, Behind Sofa Table, Industrial Style, Sturdy and Stable, for Living Room, Entryway, Foyer, Corridor, Office, Rustic Brown and Black CTHR27601","B0BSLJ3BSM","https://www.amazon.com/dp/B0BSLJ3BSM?psc=1","https://m.media-amazon.com/images/I/61bkGpjg4-L._AC_SY355_.jpg","MAHANCRIS",39.99,NA,NA,892349,"CN",16.85,1,NA,0,NA,0,"ALLOSWELL","Home & Kitchen","Large Standard-Size",NA,"11.4x17.1x6.1","14.30",2023-05-29
"34","Convenience Concepts Tucson Console Table with Shelf, Black","B01HQ2YUEQ","https://www.amazon.com/dp/B01HQ2YUEQ?psc=1","https://m.media-amazon.com/images/I/71PgzUvJoOL._AC_SX425_.jpg","Convenience Concepts",86.08,280,24102.4,176553,"AMZ",32.29,18,4.6,3620,9,6,"Amazon","Home & Kitchen","Small Oversize","FBA","11.5x5.0x48.5","23.10",2016-06-29
"35","MAHANCRIS Console Table, 40.2” Modern Sofa Table, Tempered Glass Hallway Table, Slim Couch Table, Narrow Sofa Table with Metal Frame, Easy to Install, for Entryway, Living Room, Black CTH101B01","B0BQ6HY9RT","https://www.amazon.com/dp/B0BQ6HY9RT?psc=1","https://m.media-amazon.com/images/I/51aIkU9UCgL._AC_SX425_.jpg","MAHANCRIS",45.99,NA,NA,81304,"CN",17.59,1,5,1,8,0,"ALLOSWELL","Home & Kitchen","Large Standard-Size","FBA","10.2x5.3x17.4","13.67",2023-05-03
